==========================================================================================
Speedup Comparison Report
==========================================================================================
Baseline   : results/1C.fullBW.baseline_baseline.csv
Experiment : results/1C.fullBW.berti_spp_sms_baseline.csv
------------------------------------------------------------------------------------------
Trace Name                                                                                  | IPC Base   | IPC Exp    | Speedup   
----------------------------------------------------------------------------------------------------------------------------------
Graph/GAP/bc-0                                                                              | 0.2070     | 0.2131     | 1.0295    *
Graph/GAP/bc-12                                                                             | 0.1889     | 0.1997     | 1.0572    *
Graph/GAP/bfs-10                                                                            | 0.6239     | INV/NA     | INVALID   
Graph/GAP/bfs-14                                                                            | 0.7233     | INV/NA     | INVALID   
Graph/GAP/cc-13                                                                             | 0.4180     | 0.3785     | 0.9055   
Graph/GAP/cc-14                                                                             | 0.4718     | 0.4318     | 0.9152   
Graph/GAP/cc-5                                                                              | 0.5468     | 0.5006     | 0.9155   
Graph/GAP/sssp-10                                                                           | 0.7219     | 0.6576     | 0.9109   
Graph/GAP/sssp-14                                                                           | 0.7163     | 0.6561     | 0.9160   
Graph/GMS/gms.k_clique_count_set_based.soc-pokec-relationships.slice-4                      | 2.2180     | 2.2420     | 1.0108    *
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367         | 1.1290     | 1.1230     | 0.9947   
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80          | 1.0790     | 1.0750     | 0.9963   
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236         | 1.0390     | 1.0310     | 0.9923   
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248         | 0.9298     | 0.9151     | 0.9842   
Graph/GMS/gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4                  | 2.2130     | 2.2440     | 1.0140    *
Graph/GMS/gms.k_clique_star_list.soc-pokec-relationships.slice-1291                         | 1.3910     | 1.3940     | 1.0022    *
Graph/GMS/gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852          | 2.1880     | 2.2150     | 1.0123    *
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-117                              | 0.7656     | 0.7541     | 0.9850   
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-137                              | 0.5616     | 0.5582     | 0.9939   
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-360                              | 0.5531     | 0.5493     | 0.9931   
Graph/Ligra/ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M                 | 1.4190     | 1.4610     | 1.0296    *
Graph/Ligra/ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M                 | 1.9260     | 1.9260     | 1.0000    
Graph/Ligra/ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M           | 1.3330     | 1.4070     | 1.0555    *
