==========================================================================================
Speedup Comparison Report
==========================================================================================
Baseline   : results/1C.fullBW.baseline_updatePythia.csv
Experiment : results/1C.fullBW.cmc_pythia_sms_default.csv
------------------------------------------------------------------------------------------
Trace Name                                                                                  | IPC Base   | IPC Exp    | Speedup   
----------------------------------------------------------------------------------------------------------------------------------
Graph/GAP/bc-0                                                                              | 0.2070     | 0.2094     | 1.0116    *
Graph/GAP/bc-12                                                                             | 0.1890     | 0.1936     | 1.0243    *
Graph/GAP/bfs-10                                                                            | 0.6383     | 0.6384     | 1.0002    *
Graph/GAP/bfs-14                                                                            | 0.7150     | 0.6971     | 0.9750   
Graph/GAP/cc-13                                                                             | 0.4147     | 0.3653     | 0.8809   
Graph/GAP/cc-14                                                                             | 0.4750     | 0.4172     | 0.8783   
Graph/GAP/cc-5                                                                              | 0.5516     | 0.4837     | 0.8769   
Graph/GAP/sssp-10                                                                           | 0.7204     | 0.6397     | 0.8880   
Graph/GAP/sssp-14                                                                           | 0.7173     | 0.6385     | 0.8901   
Graph/GMS/gms.k_clique_count_set_based.soc-pokec-relationships.slice-4                      | 2.2080     | 2.2570     | 1.0222    *
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367         | 1.1280     | 1.1110     | 0.9849   
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80          | 1.0780     | 1.0550     | 0.9787   
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236         | 1.0390     | 1.0260     | 0.9875   
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248         | 0.9301     | 0.9104     | 0.9788   
Graph/GMS/gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4                  | 2.2120     | 2.2430     | 1.0140    *
Graph/GMS/gms.k_clique_star_list.soc-pokec-relationships.slice-1291                         | 1.3910     | 1.4000     | 1.0065    *
Graph/GMS/gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852          | 2.1870     | 2.2100     | 1.0105    *
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-117                              | 0.7654     | 0.7583     | 0.9907   
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-137                              | 0.5617     | 0.5647     | 1.0053    *
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-360                              | 0.5526     | 0.5557     | 1.0056    *
Graph/Ligra/ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M                 | 1.4180     | 1.4520     | 1.0240    *
Graph/Ligra/ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M                 | 1.9180     | 2.0110     | 1.0485    *
Graph/Ligra/ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M           | 1.3320     | 1.3530     | 1.0158    *
Graph/Ligra/ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M                   | 1.5290     | 1.8250     | 1.1936    *
Graph/Ligra/ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M                   | 1.0740     | 1.0310     | 0.9600   
Graph/Ligra/ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M   | 1.9200     | 2.0020     | 1.0427    *
Graph/Ligra/ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M   | 0.4505     | 0.4221     | 0.9370   
Graph/Ligra/ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M            | 1.4640     | 1.4830     | 1.0130    *
Graph/Ligra/ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M                   | 1.4700     | 1.4830     | 1.0088    *
Graph/Ligra/ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M                   | 1.8710     | 1.9570     | 1.0460    *
Graph/Ligra/ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M              | 1.1420     | 1.1810     | 1.0342    *
Graph/Ligra/ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M         | 1.9110     | 1.9910     | 1.0419    *
Graph/Ligra/ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M         | 1.0710     | 1.0610     | 0.9907   
Graph/Ligra/ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M          | 1.0480     | 1.0460     | 0.9981   
Graph/Ligra/ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M                 | 0.9252     | 0.9198     | 0.9942   
Graph/Ligra/ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M                 | 0.2906     | 0.2879     | 0.9907   
Graph/Ligra/ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M              | 0.7687     | 0.7045     | 0.9165   
SPEC17/602.gcc_s-1850B                                                                      | 1.1590     | 1.1750     | 1.0138    *
SPEC17/602.gcc_s-734B                                                                       | 1.8920     | 1.7470     | 0.9234   
SPEC17/603.bwaves_s-1740B                                                                   | 2.3090     | 2.2840     | 0.9892   
SPEC17/603.bwaves_s-891B                                                                    | 1.6510     | 1.6270     | 0.9855   
SPEC17/605.mcf_s-1536B                                                                      | 0.6726     | 0.8433     | 1.2538    *
SPEC17/605.mcf_s-1554B                                                                      | 0.6391     | 0.6277     | 0.9822   
SPEC17/605.mcf_s-1644B                                                                      | 0.2276     | 0.2269     | 0.9969   
SPEC17/605.mcf_s-472B                                                                       | 0.6862     | 0.6949     | 1.0127    *
SPEC17/605.mcf_s-484B                                                                       | 0.7598     | 0.7880     | 1.0371    *
SPEC17/607.cactuBSSN_s-2421B                                                                | 2.6540     | 2.8800     | 1.0852    *
SPEC17/619.lbm_s-2676B                                                                      | 1.0960     | 1.1000     | 1.0036    *
SPEC17/619.lbm_s-2677B                                                                      | 0.6119     | 0.6144     | 1.0041    *
SPEC17/620.omnetpp_s-874B                                                                   | 0.5721     | 0.5693     | 0.9951   
SPEC17/621.wrf_s-6673B                                                                      | 2.1890     | 2.2060     | 1.0078    *
SPEC17/623.xalancbmk_s-10B                                                                  | 0.6568     | 0.6602     | 1.0052    *
SPEC17/649.fotonik3d_s-1176B                                                                | 2.6880     | 3.2130     | 1.1953    *
SPEC17/649.fotonik3d_s-7084B                                                                | 2.0850     | 2.6940     | 1.2921    *
SPEC17/654.roms_s-293B                                                                      | 2.8010     | 2.6670     | 0.9522   
SPEC17/654.roms_s-294B                                                                      | 2.5740     | 2.5100     | 0.9751   
SPEC17/654.roms_s-523B                                                                      | 1.5980     | 1.6590     | 1.0382    *
ai-ml/bark.cpp-bark-small.coarse_token_gen.1                                                | 3.1840     | 3.2220     | 1.0119    *
ai-ml/bark.cpp-bark-small.coarse_token_gen.2                                                | 2.9580     | 3.0820     | 1.0419    *
