==========================================================================================
Speedup Comparison Report
==========================================================================================
Baseline   : results/1C.fullBW.bertiM_pythia_sms_default.csv
Experiment : results/1C.fullBW.bertiMcmc_pythia_sms_default.csv
------------------------------------------------------------------------------------------
Trace Name                                                                                  | IPC Base   | IPC Exp    | Speedup   
----------------------------------------------------------------------------------------------------------------------------------
Graph/GAP/bc-0                                                                              | 0.199      | MISSING    | ---       
Graph/GAP/bc-12                                                                             | 0.1822     | MISSING    | ---       
Graph/GAP/bfs-10                                                                            | 0.7569     | 0.7474     | 0.9874   
Graph/GAP/bfs-14                                                                            | 0.8071     | 0.8013     | 0.9928   
Graph/GAP/cc-13                                                                             | 0.3793     | MISSING    | ---       
Graph/GAP/cc-14                                                                             | 0.431      | MISSING    | ---       
Graph/GAP/cc-5                                                                              | 0.499      | MISSING    | ---       
Graph/GAP/sssp-10                                                                           | 0.6602     | 0.6581     | 0.9968   
Graph/GAP/sssp-14                                                                           | 0.6577     | 0.6557     | 0.9970   
Graph/GMS/gms.k_clique_count_set_based.soc-pokec-relationships.slice-4                      | 2.2380     | 2.2380     | 1.0000    
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367         | 1.0840     | 1.0840     | 1.0000    
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80          | 1.0360     | 1.0360     | 1.0000    
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236         | 1.0050     | 1.0060     | 1.0010    *
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248         | 0.8963     | 0.8950     | 0.9985   
Graph/GMS/gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4                  | 2.2380     | 2.2380     | 1.0000    
Graph/GMS/gms.k_clique_star_list.soc-pokec-relationships.slice-1291                         | 1.3770     | 1.3770     | 1.0000    
Graph/GMS/gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852          | 2.2460     | 2.2460     | 1.0000    
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-117                              | 0.7544     | 0.7545     | 1.0001    *
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-137                              | 0.5658     | 0.5657     | 0.9998   
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-360                              | 0.5584     | 0.5585     | 1.0002    *
Graph/Ligra/ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M                 | 1.4720     | 1.4720     | 1.0000    
