==========================================================================================
Speedup Comparison Report
==========================================================================================
Baseline   : results/1C.fullBW.berti_pythia_sms_default.csv
Experiment : results/1C.fullBW.bertiM_pythia_sms_default.csv
------------------------------------------------------------------------------------------
Trace Name                                                                                  | IPC Base   | IPC Exp    | Speedup   
----------------------------------------------------------------------------------------------------------------------------------
Graph/GAP/bc-0                                                                              | 0.2092     | 0.1990     | 0.9512   
Graph/GAP/bc-12                                                                             | 0.1898     | 0.1822     | 0.9600   
Graph/GAP/bfs-10                                                                            | 0.7285     | 0.7569     | 1.0390    *
Graph/GAP/bfs-14                                                                            | 0.7841     | 0.8071     | 1.0293    *
Graph/GAP/cc-13                                                                             | 0.3774     | 0.3793     | 1.0050    *
Graph/GAP/cc-14                                                                             | 0.4284     | 0.4310     | 1.0061    *
Graph/GAP/cc-5                                                                              | 0.4973     | 0.4990     | 1.0034    *
Graph/GAP/sssp-10                                                                           | 0.6549     | 0.6602     | 1.0081    *
Graph/GAP/sssp-14                                                                           | 0.6549     | 0.6577     | 1.0043    *
Graph/GMS/gms.k_clique_count_set_based.soc-pokec-relationships.slice-4                      | 2.2510     | 2.2380     | 0.9942   
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367         | 1.1140     | 1.0840     | 0.9731   
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80          | 1.0550     | 1.0360     | 0.9820   
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236         | 1.0290     | 1.0050     | 0.9767   
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248         | 0.9131     | 0.8963     | 0.9816   
Graph/GMS/gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4                  | 2.2540     | 2.2380     | 0.9929   
Graph/GMS/gms.k_clique_star_list.soc-pokec-relationships.slice-1291                         | 1.4100     | 1.3770     | 0.9766   
Graph/GMS/gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852          | 2.2110     | 2.2460     | 1.0158    *
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-117                              | 0.7734     | 0.7544     | 0.9754   
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-137                              | 0.5800     | 0.5658     | 0.9755   
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-360                              | 0.5713     | 0.5584     | 0.9774   
