==========================================================================================
Speedup Comparison Report
==========================================================================================
Baseline   : results/1C.fullBW.berti_pythia_sms_default.csv
Experiment : results/1C.fullBW.cmc_pythia_sms_default.csv
------------------------------------------------------------------------------------------
Trace Name                                                                                  | IPC Base   | IPC Exp    | Speedup   
----------------------------------------------------------------------------------------------------------------------------------
Graph/GAP/bc-0                                                                              | 0.2092     | 0.2094     | 1.0010    *
Graph/GAP/bc-12                                                                             | 0.1898     | 0.1936     | 1.0200    *
Graph/GAP/bfs-10                                                                            | 0.7285     | 0.6384     | 0.8763   
Graph/GAP/bfs-14                                                                            | 0.7841     | 0.6971     | 0.8890   
Graph/GAP/cc-13                                                                             | 0.3774     | 0.3653     | 0.9679   
Graph/GAP/cc-14                                                                             | 0.4284     | 0.4172     | 0.9739   
Graph/GAP/cc-5                                                                              | 0.4973     | 0.4837     | 0.9727   
Graph/GAP/sssp-10                                                                           | 0.6549     | 0.6397     | 0.9768   
Graph/GAP/sssp-14                                                                           | 0.6549     | 0.6385     | 0.9750   
Graph/GMS/gms.k_clique_count_set_based.soc-pokec-relationships.slice-4                      | 2.2510     | 2.2570     | 1.0027    *
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367         | 1.1140     | 1.1110     | 0.9973   
Graph/GMS/gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80          | 1.0550     | 1.0550     | 1.0000    
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236         | 1.0290     | 1.0260     | 0.9971   
Graph/GMS/gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248         | 0.9131     | 0.9104     | 0.9970   
Graph/GMS/gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4                  | 2.2540     | 2.2430     | 0.9951   
Graph/GMS/gms.k_clique_star_list.soc-pokec-relationships.slice-1291                         | 1.4100     | 1.4000     | 0.9929   
Graph/GMS/gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852          | 2.2110     | 2.2100     | 0.9995   
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-117                              | 0.7734     | 0.7583     | 0.9805   
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-137                              | 0.5800     | 0.5647     | 0.9736   
Graph/GMS/gms.triangle_count.soc-pokec-relationships.slice-360                              | 0.5713     | 0.5557     | 0.9727   
Graph/Ligra/ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M                 | 1.4500     | 1.4520     | 1.0014    *
Graph/Ligra/ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M                 | 1.9720     | 2.0110     | 1.0198    *
Graph/Ligra/ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M           | 1.3980     | 1.3530     | 0.9678   
Graph/Ligra/ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M                   | 1.8530     | 1.8250     | 0.9849   
Graph/Ligra/ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M                   | 1.0340     | 1.0310     | 0.9971   
Graph/Ligra/ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M   | 1.9590     | 2.0020     | 1.0219    *
Graph/Ligra/ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M   | 0.4243     | 0.4221     | 0.9948   
Graph/Ligra/ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M            | 1.5400     | 1.4830     | 0.9630   
Graph/Ligra/ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M                   | 1.5410     | 1.4830     | 0.9624   
Graph/Ligra/ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M                   | 2.0200     | 1.9570     | 0.9688   
Graph/Ligra/ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M              | 1.1800     | 1.1810     | 1.0008    *
Graph/Ligra/ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M         | 1.9510     | 1.9910     | 1.0205    *
Graph/Ligra/ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M         | 1.0560     | 1.0610     | 1.0047    *
Graph/Ligra/ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M          | 1.0670     | 1.0460     | 0.9803   
Graph/Ligra/ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M                 | 0.9771     | 0.9198     | 0.9414   
Graph/Ligra/ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M                 | 0.2863     | 0.2879     | 1.0056    *
Graph/Ligra/ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M              | 0.7722     | 0.7045     | 0.9123   
SPEC17/602.gcc_s-1850B                                                                      | 1.3880     | 1.1750     | 0.8465   
SPEC17/602.gcc_s-734B                                                                       | 2.0120     | 1.7470     | 0.8683   
SPEC17/603.bwaves_s-1740B                                                                   | 2.5010     | 2.2840     | 0.9132   
SPEC17/603.bwaves_s-891B                                                                    | 1.6740     | 1.6270     | 0.9719   
SPEC17/605.mcf_s-1536B                                                                      | 0.7851     | 0.8433     | 1.0741    *
SPEC17/605.mcf_s-1554B                                                                      | 0.6752     | 0.6277     | 0.9297   
SPEC17/605.mcf_s-1644B                                                                      | 0.2239     | 0.2269     | 1.0134    *
SPEC17/605.mcf_s-472B                                                                       | 0.7404     | 0.6949     | 0.9385   
SPEC17/605.mcf_s-484B                                                                       | 0.8545     | 0.7880     | 0.9222   
SPEC17/607.cactuBSSN_s-2421B                                                                | 2.7440     | 2.8800     | 1.0496    *
SPEC17/619.lbm_s-2676B                                                                      | 1.0970     | 1.1000     | 1.0027    *
SPEC17/619.lbm_s-2677B                                                                      | 0.6134     | 0.6144     | 1.0016    *
SPEC17/620.omnetpp_s-874B                                                                   | 0.5523     | 0.5693     | 1.0308    *
SPEC17/621.wrf_s-6673B                                                                      | 2.2760     | 2.2060     | 0.9692   
SPEC17/623.xalancbmk_s-10B                                                                  | 0.5964     | 0.6602     | 1.1070    *
SPEC17/649.fotonik3d_s-1176B                                                                | 3.3320     | 3.2130     | 0.9643   
SPEC17/649.fotonik3d_s-7084B                                                                | 2.6960     | 2.6940     | 0.9993   
SPEC17/654.roms_s-293B                                                                      | 2.7800     | 2.6670     | 0.9594   
SPEC17/654.roms_s-294B                                                                      | 2.5740     | 2.5100     | 0.9751   
SPEC17/654.roms_s-523B                                                                      | 1.6800     | 1.6590     | 0.9875   
ai-ml/bark.cpp-bark-small.coarse_token_gen.1                                                | 3.2580     | 3.2220     | 0.9890   
ai-ml/bark.cpp-bark-small.coarse_token_gen.2                                                | 3.0790     | 3.0820     | 1.0010    *
ai-ml/bark.cpp-bark-small.coarse_token_gen.4                                                | 2.6510     | 2.6370     | 0.9947   
ai-ml/bark.cpp-bark-small.coarse_token_gen.5                                                | 1.8890     | 1.8460     | 0.9772   
ai-ml/biogpt.cpp-ggml-model-tocilizumab.1                                                   | 0.5891     | 0.5883     | 0.9986   
ai-ml/biogpt.cpp-ggml-model-tocilizumab.2                                                   | 0.5969     | 0.5961     | 0.9987   
ai-ml/biogpt.cpp-ggml-model-tocilizumab.3                                                   | 0.5935     | 0.5924     | 0.9981   
ai-ml/clip_trace_1                                                                          | 3.5350     | 3.5190     | 0.9955   
ai-ml/clip_trace_3                                                                          | 3.2120     | 3.1760     | 0.9888   
ai-ml/llama2.c-stories110M.1                                                                | 1.9410     | 1.7980     | 0.9263   
ai-ml/llama2.c-stories110M.2                                                                | 1.9330     | 1.8310     | 0.9472   
ai-ml/llama2.c-stories110M.3                                                                | 1.9220     | 1.8230     | 0.9485   
ai-ml/llama2.c-stories15M.1                                                                 | 2.2320     | 2.0010     | 0.8965   
