Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.474,200000002,57576375,SUCCESS,1087.62
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.183,200000004,62835321,SUCCESS,1109.88
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.345,200000006,59785848,SUCCESS,1131.67
ai-ml,clip_trace_3.champsimtrace.gz,3.122,200000006,64054229,SUCCESS,1136.72
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.652,200000005,121097173,SUCCESS,1172.96
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.289,200000003,60808537,SUCCESS,1183.73
ai-ml,whisper_trace_3.champsimtrace.gz,2.92,200000001,68500952,SUCCESS,1252.89
ai-ml,whisper_trace_2.champsimtrace.gz,2.924,200000001,68398169,SUCCESS,1258.68
ai-ml,whisper_trace_1.champsimtrace.gz,2.905,200000004,68850499,SUCCESS,1273.00
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.188,200000002,91419671,SUCCESS,1289.99
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.218,200000003,90151621,SUCCESS,1290.52
SPEC17,654.roms_s-293B.champsimtrace.xz,2.801,200000004,71414684,SUCCESS,1292.84
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.213,200000003,90368069,SUCCESS,1294.81
gtraces_v2,arizona_0002.champsim.gz,1.958,200000007,102170240,SUCCESS,1302.76
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,2.687,200000005,74428380,SUCCESS,1332.89
SPEC17,654.roms_s-294B.champsimtrace.xz,2.574,200000004,77699875,SUCCESS,1333.32
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.341,200000006,85444693,SUCCESS,1337.70
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.957,200000005,67632096,SUCCESS,1364.90
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.558,200000002,78178155,SUCCESS,1384.62
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.17,200000005,92155166,SUCCESS,1387.87
gtraces_v2,arizona_0000.champsim.gz,1.729,200000000,115679366,SUCCESS,1433.23
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,1.867,200000001,107108557,SUCCESS,1440.55
gtraces_v2,arizona_0001.champsim.gz,1.712,200000001,116854048,SUCCESS,1463.36
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,1.808,200000000,110640017,SUCCESS,1464.81
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,1.785,200000003,112065827,SUCCESS,1476.57
gtraces_v2,charlie_0000.champsim.gz,1.353,200000002,147825153,SUCCESS,1488.02
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,1.741,200000002,114905583,SUCCESS,1491.32
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.391,200000000,143769762,SUCCESS,1556.44
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,1.787,200000004,111906101,SUCCESS,1565.96
ai-ml,llama2.c-stories42M.3.champsimtrace.gz,1.781,200000001,112320130,SUCCESS,1569.09
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.926,200000007,103842686,SUCCESS,1573.45
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.574,200000005,77687285,SUCCESS,1575.40
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,1.778,200000000,112490549,SUCCESS,1583.88
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.92,200000005,104163868,SUCCESS,1585.34
SPEC17,602.gcc_s-734B.champsimtrace.xz,1.895,200000001,105530519,SUCCESS,1592.48
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.91,200000000,104709070,SUCCESS,1600.74
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,1.039,200000000,192494373,SUCCESS,1626.98
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,2.601,200000001,76886408,SUCCESS,1640.14
gtraces_v2,charlie_0001.champsim.gz,1.254,200000006,159430587,SUCCESS,1648.01
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,2.078,200000004,96249996,SUCCESS,1657.09
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,2.6,200000000,76913725,SUCCESS,1660.67
ai-ml,llama2.c-stories110M.2.champsimtrace.gz,1.614,200000000,123888520,SUCCESS,1673.68
