Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.472,200000003,57607422,SUCCESS,1091.13
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.182,200000000,62853184,SUCCESS,1100.76
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.356,200000005,59589416,SUCCESS,1131.30
ai-ml,clip_trace_3.champsimtrace.gz,3.121,200000001,64077163,SUCCESS,1132.03
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.651,200000005,121111541,SUCCESS,1163.57
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.289,200000005,60806412,SUCCESS,1175.20
ai-ml,whisper_trace_3.champsimtrace.gz,2.919,200000006,68517645,SUCCESS,1260.92
ai-ml,whisper_trace_2.champsimtrace.gz,2.921,200000003,68470647,SUCCESS,1271.17
ai-ml,whisper_trace_1.champsimtrace.gz,2.905,200000001,68842182,SUCCESS,1276.41
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.187,200000002,91443673,SUCCESS,1289.67
SPEC17,654.roms_s-293B.champsimtrace.xz,2.802,200000003,71383443,SUCCESS,1279.96
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.203,200000003,90792782,SUCCESS,1297.88
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.213,200000003,90375485,SUCCESS,1300.84
gtraces_v2,arizona_0002.champsim.gz,1.895,200000007,105551083,SUCCESS,1327.02
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.38,200000001,84040775,SUCCESS,1326.20
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.955,200000003,67678549,SUCCESS,1353.13
