Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.472,200000007,57603510,SUCCESS,1142.55
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.183,200000005,62829649,SUCCESS,1168.37
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.35,200000005,59697440,SUCCESS,1196.05
ai-ml,clip_trace_3.champsimtrace.gz,3.121,200000001,64079981,SUCCESS,1203.68
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.29,200000003,60785065,SUCCESS,1228.08
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.651,200000005,121120019,SUCCESS,1242.01
ai-ml,whisper_trace_1.champsimtrace.gz,2.905,200000001,68843161,SUCCESS,1330.16
ai-ml,whisper_trace_3.champsimtrace.gz,2.92,200000000,68498005,SUCCESS,1332.62
ai-ml,whisper_trace_2.champsimtrace.gz,2.921,200000006,68467274,SUCCESS,1333.68
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.212,200000003,90409013,SUCCESS,1347.64
SPEC17,654.roms_s-293B.champsimtrace.xz,2.802,200000004,71368107,SUCCESS,1348.34
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.203,200000003,90792811,SUCCESS,1374.43
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.187,200000002,91443673,SUCCESS,1380.65
gtraces_v2,arizona_0002.champsim.gz,1.901,200000007,105230241,SUCCESS,1389.98
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,2.69,200000004,74357051,SUCCESS,1394.48
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.955,200000004,67690239,SUCCESS,1445.34
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.27,200000001,88092261,SUCCESS,1438.06
SPEC17,654.roms_s-294B.champsimtrace.xz,2.574,200000006,77689301,SUCCESS,1456.73
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.564,200000006,78017813,SUCCESS,1490.89
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.187,200000005,91441527,SUCCESS,1488.91
gtraces_v2,arizona_0000.champsim.gz,1.691,200000000,118285615,SUCCESS,1516.31
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,1.865,200000003,107236377,SUCCESS,1556.31
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,1.806,200000003,110738461,SUCCESS,1557.84
gtraces_v2,arizona_0001.champsim.gz,1.677,200000001,119285115,SUCCESS,1573.79
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,1.723,200000007,116045574,SUCCESS,1603.07
gtraces_v2,charlie_0000.champsim.gz,1.275,200000000,156882970,SUCCESS,1599.93
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,1.721,200000002,116191426,SUCCESS,1607.79
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.391,200000000,143796073,SUCCESS,1651.98
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,1.777,200000000,112532763,SUCCESS,1666.09
