Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.474,200000004,57576476,SUCCESS,1083.24
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.184,200000004,62819648,SUCCESS,1106.24
ai-ml,clip_trace_3.champsimtrace.gz,3.122,200000002,64051791,SUCCESS,1114.56
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.36,200000006,59519867,SUCCESS,1117.52
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.289,200000006,60801322,SUCCESS,1156.76
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.651,200000005,121102965,SUCCESS,1161.30
ai-ml,whisper_trace_2.champsimtrace.gz,2.921,200000000,68458612,SUCCESS,1239.17
ai-ml,whisper_trace_3.champsimtrace.gz,2.919,200000001,68515917,SUCCESS,1241.75
ai-ml,whisper_trace_1.champsimtrace.gz,2.905,200000001,68839590,SUCCESS,1268.13
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.187,200000002,91452617,SUCCESS,1275.39
gtraces_v2,arizona_0002.champsim.gz,1.975,200000007,101252549,SUCCESS,1277.08
SPEC17,654.roms_s-293B.champsimtrace.xz,2.801,200000004,71414409,SUCCESS,1282.56
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.212,200000003,90397724,SUCCESS,1294.11
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.208,200000003,90560061,SUCCESS,1295.29
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.309,200000006,86631449,SUCCESS,1314.78
SPEC17,654.roms_s-294B.champsimtrace.xz,2.574,200000004,77699897,SUCCESS,1322.55
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,2.688,200000003,74410505,SUCCESS,1329.09
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.958,200000001,67621013,SUCCESS,1351.67
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.564,200000002,78002558,SUCCESS,1387.86
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.189,200000001,91374249,SUCCESS,1392.73
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,1.871,200000003,106870207,SUCCESS,1423.13
gtraces_v2,arizona_0000.champsim.gz,1.721,200000000,116236644,SUCCESS,1432.86
gtraces_v2,arizona_0001.champsim.gz,1.716,200000001,116516936,SUCCESS,1472.58
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,1.826,200000000,109508566,SUCCESS,1482.72
gtraces_v2,charlie_0000.champsim.gz,1.352,200000002,147959767,SUCCESS,1479.91
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,1.724,200000003,116036642,SUCCESS,1501.33
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,1.725,200000002,115965606,SUCCESS,1512.30
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.391,200000000,143814950,SUCCESS,1553.61
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,1.778,200000000,112494414,SUCCESS,1553.80
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.918,200000005,104264317,SUCCESS,1562.73
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.92,200000000,104141888,SUCCESS,1564.28
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.571,200000000,77775668,SUCCESS,1568.74
ai-ml,llama2.c-stories42M.3.champsimtrace.gz,1.78,200000001,112336019,SUCCESS,1567.24
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.911,200000000,104643868,SUCCESS,1575.56
SPEC17,602.gcc_s-734B.champsimtrace.xz,1.892,200000003,105713284,SUCCESS,1566.42
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,1.776,200000004,112609381,SUCCESS,1581.04
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,1.039,200000000,192410480,SUCCESS,1615.08
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,2.595,200000005,77065980,SUCCESS,1630.57
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,2.085,200000002,95914757,SUCCESS,1631.00
gtraces_v2,charlie_0001.champsim.gz,1.256,200000006,159174359,SUCCESS,1635.54
