Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.519,200000004,56837101,SUCCESS,1051.85
ai-ml,clip_trace_3.champsimtrace.gz,3.176,200000006,62974281,SUCCESS,1087.07
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.438,200000006,58171046,SUCCESS,1090.99
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.222,200000007,62077132,SUCCESS,1092.54
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.379,200000003,59191219,SUCCESS,1103.10
ai-ml,whisper_trace_2.champsimtrace.gz,2.978,200000005,67157430,SUCCESS,1188.30
ai-ml,whisper_trace_3.champsimtrace.gz,2.985,200000004,67008278,SUCCESS,1190.35
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,3.213,200000003,62239691,SUCCESS,1187.69
ai-ml,whisper_trace_1.champsimtrace.gz,2.964,200000005,67472941,SUCCESS,1200.75
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.627,200000000,122914859,SUCCESS,1224.74
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,3.082,200000001,64897222,SUCCESS,1265.91
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.21,200000002,90512329,SUCCESS,1285.61
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.257,200000003,88612866,SUCCESS,1295.51
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.243,200000003,89153293,SUCCESS,1300.22
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.637,200000007,75839606,SUCCESS,1320.47
gtraces_v2,arizona_0002.champsim.gz,1.973,200000007,101380678,SUCCESS,1320.19
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,1.957,200000003,102173768,SUCCESS,1345.98
SPEC17,654.roms_s-293B.champsimtrace.xz,2.667,200000003,75004179,SUCCESS,1337.78
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,2.059,200000007,97127290,SUCCESS,1355.36
SPEC17,654.roms_s-294B.champsimtrace.xz,2.51,200000006,79667568,SUCCESS,1365.93
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.206,200000001,90656064,SUCCESS,1366.29
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,2.694,200000005,74248075,SUCCESS,1369.86
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,2.001,200000002,99942159,SUCCESS,1379.54
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,1.982,200000003,100890235,SUCCESS,1386.86
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.284,200000004,87547544,SUCCESS,1391.20
gtraces_v2,arizona_0000.champsim.gz,1.696,200000000,117908185,SUCCESS,1456.44
