Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.44,200000006,58135858,SUCCESS,1236.70
ai-ml,clip_trace_3.champsimtrace.gz,3.175,200000006,63000922,SUCCESS,1256.63
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.378,200000003,59200724,SUCCESS,1264.67
ai-ml,whisper_trace_3.champsimtrace.gz,2.987,200000003,66962191,SUCCESS,1332.26
ai-ml,whisper_trace_1.champsimtrace.gz,2.964,200000004,67468541,SUCCESS,1358.41
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,3.077,200000000,64995798,SUCCESS,1445.12
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.237,200000003,89419967,SUCCESS,1468.52
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.242,200000003,89196761,SUCCESS,1474.87
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.21,200000002,90500326,SUCCESS,1498.72
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,2.041,200000002,98010022,SUCCESS,1529.39
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.631,200000003,76021711,SUCCESS,1528.92
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.557,200000003,78210652,SUCCESS,1653.17
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,1.957,200000003,102197938,SUCCESS,1675.41
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,1.947,200000000,102736095,SUCCESS,1717.07
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,1.925,200000004,103898392,SUCCESS,1764.92
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M.champsimtrace.xz,1.824,200000007,109633691,SUCCESS,1774.27
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.2.champsimtrace.gz,2.617,200000002,76420379,SUCCESS,1775.05
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.4,200000000,142813456,SUCCESS,1780.60
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,2.685,200000001,74493138,SUCCESS,1775.82
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,2.002,200000005,99918232,SUCCESS,1791.31
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,2.047,200000005,97683746,SUCCESS,1801.42
ai-ml,llama2.c-stories110M.2.champsimtrace.gz,1.835,200000000,108985015,SUCCESS,1799.16
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.992,200000000,100416075,SUCCESS,1830.83
ai-ml,llama2.c-stories110M.1.champsimtrace.gz,1.803,200000000,110932614,SUCCESS,1847.90
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,1.026,200000000,194994085,SUCCESS,1874.76
