Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.886,200000005,106067783,SUCCESS,1321.72
ai-ml,clip_trace_1.champsimtrace.gz,3.479,200000007,57482619,SUCCESS,1334.56
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.162,200000002,63253562,SUCCESS,1377.53
ai-ml,clip_trace_3.champsimtrace.gz,3.119,200000007,64132439,SUCCESS,1414.76
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.376,200000006,59238539,SUCCESS,1425.47
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.312,200000001,60392476,SUCCESS,1481.21
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.199,200000002,90959620,SUCCESS,1517.64
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.186,200000007,91475831,SUCCESS,1540.55
ai-ml,whisper_trace_2.champsimtrace.gz,2.912,200000004,68687774,SUCCESS,1579.57
ai-ml,whisper_trace_3.champsimtrace.gz,2.91,200000006,68734158,SUCCESS,1584.45
ai-ml,whisper_trace_1.champsimtrace.gz,2.897,200000004,69028694,SUCCESS,1585.73
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.236,200000002,89459368,SUCCESS,1596.30
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.414,200000003,82865550,SUCCESS,1634.99
gtraces_v2,arizona_0002.champsim.gz,1.922,200000007,104082649,SUCCESS,1645.14
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.921,200000003,68470919,SUCCESS,1661.12
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,2.618,200000004,76390177,SUCCESS,1666.28
SPEC17,654.roms_s-293B.champsimtrace.xz,2.637,200000004,75830730,SUCCESS,1689.21
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.185,200000003,91547107,SUCCESS,1707.13
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.565,200000007,77968831,SUCCESS,1740.56
SPEC17,654.roms_s-294B.champsimtrace.xz,2.388,200000005,83746011,SUCCESS,1738.92
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,2.142,200000003,93374387,SUCCESS,1773.42
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,1.904,200000001,105046142,SUCCESS,1808.12
gtraces_v2,arizona_0000.champsim.gz,1.673,200000000,119553909,SUCCESS,1812.58
SPEC17,602.gcc_s-734B.champsimtrace.xz,2.173,200000001,92049305,SUCCESS,1819.50
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,1.894,200000002,105605592,SUCCESS,1855.88
gtraces_v2,arizona_0001.champsim.gz,1.667,200000000,119943804,SUCCESS,1882.31
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,1.931,200000004,103554045,SUCCESS,1889.10
SPEC17,602.gcc_s-1850B.champsimtrace.xz,1.45,200000000,137902822,SUCCESS,1889.04
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,2.009,200000005,99560371,SUCCESS,1902.60
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.865,200000005,107255034,SUCCESS,1916.80
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.847,200000000,108308650,SUCCESS,1921.97
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.858,200000007,107632245,SUCCESS,1933.69
ai-ml,llama2.c-stories42M.3.champsimtrace.gz,1.962,200000001,101946400,SUCCESS,1950.23
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.358,200000001,147277438,SUCCESS,1968.60
ai-ml,llama2.c-stories110M.1.champsimtrace.gz,1.712,200000003,116807238,SUCCESS,1968.87
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,2.341,200000003,85428774,SUCCESS,1964.29
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.573,200000000,127149624,SUCCESS,1979.36
Graph/Ligra,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.573,200000000,127124883,SUCCESS,1981.69
gtraces_v2,charlie_0000.champsim.gz,1.273,200000002,157168368,SUCCESS,1974.35
ai-ml,llama2.c-stories110M.2.champsimtrace.gz,1.72,200000000,116245791,SUCCESS,1981.18
ai-ml,llama2.c-stories110M.3.champsimtrace.gz,1.701,200000006,117553834,SUCCESS,2004.47
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.54,200000001,78753255,SUCCESS,2006.36
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M.champsimtrace.xz,1.588,200000003,125970991,SUCCESS,2112.33
gtraces_v2,charlie_0001.champsim.gz,1.186,200000000,168661807,SUCCESS,2123.76
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,1.005,200000000,199031369,SUCCESS,2146.34
SPEC17,607.cactuBSSN_s-2421B.champsimtrace.xz,2.691,200000005,74331253,SUCCESS,2141.45
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M.champsimtrace.xz,1.445,200000005,138405401,SUCCESS,2156.67
Graph/Ligra,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M.champsimtrace.xz,1.425,200000003,140310076,SUCCESS,2195.06
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,2.556,200000006,78255099,SUCCESS,2207.37
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.2.champsimtrace.gz,2.488,200000005,80393693,SUCCESS,2235.36
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,2.552,200000005,78371032,SUCCESS,2237.39
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,1.891,200000005,105758241,SUCCESS,2303.53
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M.champsimtrace.xz,1.004,200000003,199180994,SUCCESS,2370.72
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248.champsimstrace.gz,0.8964,200000000,223103682,SUCCESS,2410.78
ai-ml,bark.cpp-bark-small.coarse_token_gen.5.champsimtrace.gz,1.76,200000001,113658188,SUCCESS,2410.57
SPEC17,654.roms_s-523B.champsimtrace.xz,1.626,200000002,122970490,SUCCESS,2415.73
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M.champsimtrace.xz,1.064,200000002,188019268,SUCCESS,2435.58
Graph/Ligra,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,1.038,200000000,192602729,SUCCESS,2460.40
gtraces_v2,charlie_0004.champsim.gz,0.9065,200000004,220620331,SUCCESS,2488.93
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.1.champsimtrace.gz,2.231,200000006,89662684,SUCCESS,2503.45
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-117.champsimtrace.gz,0.7388,200000000,270703318,SUCCESS,2524.63
Graph/GAP,bfs-14.trace.gz,0.7804,200000001,256290590,SUCCESS,2559.78
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367.champsimtrace.gz,1.078,200000001,185515815,SUCCESS,2561.73
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.1.champsimtrace.gz,1.714,200000003,116679067,SUCCESS,2617.84
Graph/Ligra,ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,0.9773,200000002,204650445,SUCCESS,2624.00
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80.champsimtrace.gz,1.026,200000002,194845922,SUCCESS,2677.06
Graph/GAP,bfs-10.trace.gz,0.7107,200000001,281393439,SUCCESS,2691.87
gtraces_v2,charlie_0002.champsim.gz,0.7956,200000003,251377687,SUCCESS,2833.26
gtraces_v2,tahoe_0002.champsim.gz,0.7507,200000001,266415083,SUCCESS,2865.39
gtraces_v2,merced_0000.champsim.gz,0.6709,200000001,298101332,SUCCESS,2891.41
gtraces_v2,charlie_0003.champsim.gz,0.7319,200000007,273263101,SUCCESS,3022.53
gtraces_v2,yankee_0002.champsim.gz,0.579,200000000,345413533,SUCCESS,3111.84
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M.champsimtrace.xz,1.013,200000006,197420884,SUCCESS,3163.97
gtraces_v2,tango_0001.champsim.gz,0.6235,200000000,320770275,SUCCESS,3237.71
gtraces_v2,merced_0004.champsim.gz,0.5619,200000001,355954645,SUCCESS,3243.44
gtraces_v2,tahoe_0004.champsim.gz,0.5593,200000000,357606864,SUCCESS,3245.49
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-137.champsimtrace.gz,0.5499,200000004,363685610,SUCCESS,3259.10
gtraces_v2,tahoe_0000.champsim.gz,0.5436,200000001,367910172,SUCCESS,3319.92
