Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.54,200000000,56494761,SUCCESS,1156.44
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.897,200000005,105456884,SUCCESS,1178.67
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.225,200000005,62006956,SUCCESS,1197.96
ai-ml,clip_trace_3.champsimtrace.gz,3.196,200000005,62574231,SUCCESS,1208.01
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.462,200000002,57775162,SUCCESS,1223.44
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,3.463,200000003,57755814,SUCCESS,1219.43
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.412,200000001,58614162,SUCCESS,1232.16
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.238,200000007,89369999,SUCCESS,1332.64
ai-ml,whisper_trace_1.champsimtrace.gz,2.968,200000004,67395359,SUCCESS,1333.81
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.238,200000002,89356962,SUCCESS,1343.55
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.246,200000002,89061866,SUCCESS,1362.61
ai-ml,whisper_trace_3.champsimtrace.gz,2.976,200000001,67193222,SUCCESS,1364.68
ai-ml,whisper_trace_2.champsimtrace.gz,2.975,200000000,67217552,SUCCESS,1384.80
gtraces_v2,arizona_0002.champsim.gz,1.983,200000007,100836370,SUCCESS,1407.36
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,2.307,200000001,86691846,SUCCESS,1428.00
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.605,200000005,76765114,SUCCESS,1431.59
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,2.289,200000005,87370183,SUCCESS,1437.94
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,3.019,200000003,66250081,SUCCESS,1450.24
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.277,200000001,87835727,SUCCESS,1448.15
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.632,200000004,75987292,SUCCESS,1474.18
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,2.264,200000000,88330835,SUCCESS,1475.97
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,2.798,200000004,71475190,SUCCESS,1478.87
SPEC17,654.roms_s-293B.champsimtrace.xz,2.617,200000003,76426425,SUCCESS,1478.87
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,2.154,200000003,92862351,SUCCESS,1538.07
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,2.355,200000005,84913126,SUCCESS,1535.77
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,2.359,200000002,84788179,SUCCESS,1536.69
SPEC17,654.roms_s-294B.champsimtrace.xz,2.391,200000005,83650530,SUCCESS,1548.90
ai-ml,llama2.c-stories110M.2.champsimtrace.gz,2.051,200000000,97531993,SUCCESS,1559.33
gtraces_v2,arizona_0000.champsim.gz,1.702,200000000,117506955,SUCCESS,1556.31
ai-ml,llama2.c-stories110M.1.champsimtrace.gz,2.05,200000006,97564517,SUCCESS,1561.81
ai-ml,llama2.c-stories42M.3.champsimtrace.gz,2.382,200000001,83952030,SUCCESS,1596.06
gtraces_v2,arizona_0001.champsim.gz,1.703,200000000,117429751,SUCCESS,1592.44
SPEC17,602.gcc_s-734B.champsimtrace.xz,2.202,200000001,90827727,SUCCESS,1591.58
gtraces_v2,charlie_0000.champsim.gz,1.362,200000002,146846987,SUCCESS,1601.25
SPEC17,602.gcc_s-1850B.champsimtrace.xz,1.517,200000000,131878603,SUCCESS,1599.92
ai-ml,llama2.c-stories110M.3.champsimtrace.gz,2.013,200000006,99374229,SUCCESS,1614.80
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.945,200000005,102814330,SUCCESS,1642.57
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.916,200000000,104400405,SUCCESS,1642.47
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.933,200000005,103440550,SUCCESS,1649.89
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M.champsimtrace.xz,1.824,200000007,109672661,SUCCESS,1671.88
Graph/Ligra,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.628,200000000,122829808,SUCCESS,1675.60
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.628,200000000,122848635,SUCCESS,1678.49
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.596,200000001,77038712,SUCCESS,1675.92
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.377,200000000,145265856,SUCCESS,1683.27
gtraces_v2,charlie_0001.champsim.gz,1.268,200000001,157723845,SUCCESS,1751.23
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,1.005,200000000,199099178,SUCCESS,1824.88
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M.champsimtrace.xz,1.472,200000005,135886945,SUCCESS,1826.43
Graph/Ligra,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M.champsimtrace.xz,1.47,200000003,136077115,SUCCESS,1845.85
