Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.541,200000000,56483755,SUCCESS,1326.10
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.897,200000005,105450220,SUCCESS,1346.76
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.224,200000007,62032363,SUCCESS,1362.53
ai-ml,clip_trace_3.champsimtrace.gz,3.201,200000001,62475022,SUCCESS,1370.37
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,3.474,200000002,57573856,SUCCESS,1395.58
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.468,200000002,57674673,SUCCESS,1413.44
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.393,200000007,58953398,SUCCESS,1440.18
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.236,200000002,89443786,SUCCESS,1520.73
ai-ml,whisper_trace_1.champsimtrace.gz,2.966,200000006,67425915,SUCCESS,1544.90
ai-ml,whisper_trace_3.champsimtrace.gz,2.974,200000001,67251999,SUCCESS,1548.13
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.246,200000002,89061863,SUCCESS,1555.08
ai-ml,whisper_trace_2.champsimtrace.gz,2.978,200000003,67150696,SUCCESS,1568.15
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.23,200000007,89693647,SUCCESS,1627.52
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,2.331,200000001,85781776,SUCCESS,1627.45
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,2.301,200000001,86903930,SUCCESS,1646.00
gtraces_v2,arizona_0002.champsim.gz,1.905,200000006,104980916,SUCCESS,1649.62
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,2.258,200000000,88554772,SUCCESS,1667.45
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,3.015,200000006,66334080,SUCCESS,1672.62
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.278,200000001,87814367,SUCCESS,1681.01
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.632,200000005,75997458,SUCCESS,1689.60
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.591,200000006,77201738,SUCCESS,1686.79
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,2.802,200000004,71371396,SUCCESS,1699.40
