Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.539,200000001,56517227,SUCCESS,1149.32
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.896,200000005,105467436,SUCCESS,1155.37
ai-ml,clip_trace_3.champsimtrace.gz,3.199,200000003,62514443,SUCCESS,1168.17
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.231,200000007,61892095,SUCCESS,1183.42
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,3.47,200000005,57633732,SUCCESS,1190.01
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.469,200000001,57655820,SUCCESS,1208.52
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.387,200000003,59045544,SUCCESS,1230.45
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.238,200000007,89369999,SUCCESS,1294.73
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.238,200000002,89356962,SUCCESS,1327.77
ai-ml,whisper_trace_3.champsimtrace.gz,2.978,200000004,67149138,SUCCESS,1327.27
ai-ml,whisper_trace_1.champsimtrace.gz,2.964,200000001,67476815,SUCCESS,1335.22
ai-ml,whisper_trace_2.champsimtrace.gz,2.975,200000001,67229187,SUCCESS,1345.18
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.246,200000002,89055472,SUCCESS,1364.70
gtraces_v2,arizona_0002.champsim.gz,1.983,200000006,100872282,SUCCESS,1404.90
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,2.314,200000003,86412146,SUCCESS,1413.50
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,2.3,200000001,86956491,SUCCESS,1419.31
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.585,200000001,77361186,SUCCESS,1413.87
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.269,200000005,88144868,SUCCESS,1422.31
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.999,200000006,66686362,SUCCESS,1431.86
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,2.28,200000001,87732076,SUCCESS,1435.76
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.63,200000000,76058320,SUCCESS,1455.40
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,2.8,200000004,71428165,SUCCESS,1464.70
SPEC17,654.roms_s-293B.champsimtrace.xz,2.615,200000004,76489402,SUCCESS,1494.13
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,2.153,200000003,92877691,SUCCESS,1510.81
SPEC17,654.roms_s-294B.champsimtrace.xz,2.391,200000004,83647931,SUCCESS,1512.55
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,2.435,200000005,82144396,SUCCESS,1529.02
ai-ml,llama2.c-stories110M.2.champsimtrace.gz,2.047,200000000,97727030,SUCCESS,1534.36
ai-ml,llama2.c-stories110M.1.champsimtrace.gz,2.057,200000006,97223810,SUCCESS,1536.01
gtraces_v2,arizona_0000.champsim.gz,1.7,200000004,117614518,SUCCESS,1540.09
SPEC17,602.gcc_s-734B.champsimtrace.xz,2.209,200000001,90547565,SUCCESS,1544.99
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,2.352,200000002,85037303,SUCCESS,1561.13
ai-ml,llama2.c-stories110M.3.champsimtrace.gz,2.023,200000005,98882731,SUCCESS,1568.27
ai-ml,llama2.c-stories42M.3.champsimtrace.gz,2.361,200000001,84704225,SUCCESS,1573.38
SPEC17,602.gcc_s-1850B.champsimtrace.xz,1.525,200000000,131172503,SUCCESS,1576.40
gtraces_v2,charlie_0000.champsim.gz,1.365,200000002,146501163,SUCCESS,1582.82
gtraces_v2,arizona_0001.champsim.gz,1.705,200000000,117270753,SUCCESS,1590.79
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.932,200000005,103493876,SUCCESS,1616.99
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.93,200000005,103629038,SUCCESS,1619.33
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.916,200000000,104371432,SUCCESS,1629.83
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M.champsimtrace.xz,1.824,200000007,109637263,SUCCESS,1636.14
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.377,200000000,145229416,SUCCESS,1641.61
Graph/Ligra,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.628,200000000,122814202,SUCCESS,1650.67
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.627,200000000,122891589,SUCCESS,1667.39
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.59,200000004,77216160,SUCCESS,1675.50
gtraces_v2,charlie_0001.champsim.gz,1.273,200000001,157087347,SUCCESS,1714.19
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,1.006,200000000,198876434,SUCCESS,1770.09
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M.champsimtrace.xz,1.472,200000005,135899173,SUCCESS,1794.82
Graph/Ligra,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M.champsimtrace.xz,1.469,200000003,136147124,SUCCESS,1829.67
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,2.618,200000001,76388031,SUCCESS,1846.97
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.2.champsimtrace.gz,2.546,200000001,78541639,SUCCESS,1857.75
SPEC17,607.cactuBSSN_s-2421B.champsimtrace.xz,2.742,200000005,72944061,SUCCESS,1855.68
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,2.613,200000002,76541837,SUCCESS,1866.26
SPEC17,654.roms_s-523B.champsimtrace.xz,1.711,200000003,116894181,SUCCESS,1954.68
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M.champsimtrace.xz,1.084,200000002,184525779,SUCCESS,1983.21
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M.champsimtrace.xz,1.006,200000003,198737170,SUCCESS,1986.71
ai-ml,bark.cpp-bark-small.coarse_token_gen.5.champsimtrace.gz,1.882,200000004,106288006,SUCCESS,1994.16
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248.champsimstrace.gz,0.895,200000000,223464518,SUCCESS,2003.24
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.1.champsimtrace.gz,2.274,200000000,87933757,SUCCESS,2032.03
gtraces_v2,charlie_0004.champsim.gz,0.9862,200000004,202794937,SUCCESS,2028.23
Graph/Ligra,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,1.009,200000000,198177039,SUCCESS,2071.85
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-117.champsimtrace.gz,0.7545,200000000,265069920,SUCCESS,2073.66
Graph/GAP,bfs-14.trace.gz,0.8013,200000001,249589384,SUCCESS,2092.45
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367.champsimtrace.gz,1.084,200000003,184440953,SUCCESS,2095.19
Graph/GAP,bfs-10.trace.gz,0.7474,200000001,267604879,SUCCESS,2146.80
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.1.champsimtrace.gz,1.722,200000001,116130779,SUCCESS,2200.21
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80.champsimtrace.gz,1.036,200000001,193076099,SUCCESS,2206.28
gtraces_v2,charlie_0002.champsim.gz,0.8698,200000006,229928936,SUCCESS,2239.31
