Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.534,200000000,56590757,SUCCESS,1106.49
ai-ml,clip_trace_3.champsimtrace.gz,3.212,200000002,62261474,SUCCESS,1125.22
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.292,200000002,60748703,SUCCESS,1127.35
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.469,200000005,57660295,SUCCESS,1139.16
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.391,200000003,58982006,SUCCESS,1178.05
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.674,200000006,119464667,SUCCESS,1171.13
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,3.33,200000005,60067362,SUCCESS,1181.62
ai-ml,whisper_trace_3.champsimtrace.gz,2.983,200000005,67049376,SUCCESS,1253.04
ai-ml,whisper_trace_1.champsimtrace.gz,2.977,200000001,67185495,SUCCESS,1269.29
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.252,200000003,88808780,SUCCESS,1281.59
ai-ml,whisper_trace_2.champsimtrace.gz,2.985,200000003,67009273,SUCCESS,1278.02
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.252,200000003,88818067,SUCCESS,1299.60
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.212,200000002,90434149,SUCCESS,1317.96
gtraces_v2,arizona_0002.champsim.gz,2.017,200000007,99179185,SUCCESS,1311.75
SPEC17,654.roms_s-293B.champsimtrace.xz,2.781,200000003,71910506,SUCCESS,1331.56
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,3.073,200000001,65081923,SUCCESS,1354.64
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.498,200000006,80065232,SUCCESS,1370.72
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,2.149,200000002,93046571,SUCCESS,1381.66
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,2.129,200000007,93943163,SUCCESS,1382.41
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.284,200000005,87583592,SUCCESS,1376.17
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.658,200000003,75258333,SUCCESS,1385.95
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,2.203,200000002,90772674,SUCCESS,1387.19
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,2.017,200000003,99145450,SUCCESS,1408.71
SPEC17,654.roms_s-294B.champsimtrace.xz,2.574,200000006,77691733,SUCCESS,1404.14
gtraces_v2,arizona_0000.champsim.gz,1.743,200000000,114760275,SUCCESS,1423.51
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,2.696,200000004,74179019,SUCCESS,1424.41
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,2.222,200000000,90012326,SUCCESS,1436.24
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,2.211,200000002,90448466,SUCCESS,1451.97
ai-ml,llama2.c-stories42M.3.champsimtrace.gz,2.219,200000001,90130984,SUCCESS,1467.91
