Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.249,200000006,61564340,SUCCESS,1237.51
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.181,200000004,62877635,SUCCESS,1278.97
ai-ml,clip_trace_3.champsimtrace.gz,3.005,200000001,66553860,SUCCESS,1283.75
ai-ml,whisper_trace_3.champsimtrace.gz,2.855,200000001,70054959,SUCCESS,1399.99
ai-ml,whisper_trace_1.champsimtrace.gz,2.836,200000004,70521446,SUCCESS,1404.20
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.883,200000005,69377169,SUCCESS,1450.68
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.151,200000002,92989252,SUCCESS,1498.11
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.139,200000003,93488656,SUCCESS,1505.25
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.134,200000003,93703903,SUCCESS,1508.13
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.467,200000003,81055566,SUCCESS,1596.91
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.532,200000000,78995131,SUCCESS,1639.02
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,2.541,200000001,78709846,SUCCESS,1783.67
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,2.541,200000001,78717049,SUCCESS,1810.98
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.2.champsimtrace.gz,2.469,200000001,81001040,SUCCESS,1840.14
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,1.038,200000000,192627010,SUCCESS,1848.69
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.763,200000005,113463322,SUCCESS,1896.18
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.258,200000000,158989462,SUCCESS,1913.42
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,1.314,200000003,152236535,SUCCESS,1926.76
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.753,200000000,114097676,SUCCESS,1927.84
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.762,200000005,113487981,SUCCESS,1945.11
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,1.341,200000002,149086997,SUCCESS,1943.07
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248.champsimstrace.gz,0.93,200000003,215050926,SUCCESS,2031.71
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,1.372,200000004,145724774,SUCCESS,2049.99
Graph/Ligra,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.271,200000000,157388022,SUCCESS,2078.02
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.271,200000000,157338528,SUCCESS,2088.23
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367.champsimtrace.gz,1.151,200000001,173749016,SUCCESS,2094.92
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80.champsimtrace.gz,1.123,200000001,178144560,SUCCESS,2100.92
