Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.535,200000000,56571726,SUCCESS,1091.04
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.258,200000005,61387234,SUCCESS,1123.69
ai-ml,clip_trace_3.champsimtrace.gz,3.213,200000000,62252349,SUCCESS,1147.83
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.47,200000000,57634040,SUCCESS,1150.61
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.396,200000001,58896083,SUCCESS,1187.51
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.674,200000006,119488900,SUCCESS,1197.41
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,3.331,200000005,60040849,SUCCESS,1205.91
ai-ml,whisper_trace_3.champsimtrace.gz,2.983,200000001,67056481,SUCCESS,1255.94
ai-ml,whisper_trace_1.champsimtrace.gz,2.975,200000005,67216935,SUCCESS,1281.91
ai-ml,whisper_trace_2.champsimtrace.gz,2.986,200000001,66972163,SUCCESS,1290.74
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.212,200000002,90427388,SUCCESS,1295.62
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.253,200000003,88788526,SUCCESS,1299.89
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.25,200000003,88901149,SUCCESS,1308.82
gtraces_v2,arizona_0002.champsim.gz,2.069,200000007,96660255,SUCCESS,1304.72
SPEC17,654.roms_s-293B.champsimtrace.xz,2.78,200000004,71933882,SUCCESS,1324.67
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,3.081,200000003,64914010,SUCCESS,1343.64
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,2.193,200000002,91187242,SUCCESS,1376.49
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,2.143,200000003,93315991,SUCCESS,1387.71
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.657,200000002,75276514,SUCCESS,1390.51
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.296,200000001,87125388,SUCCESS,1385.56
SPEC17,654.roms_s-294B.champsimtrace.xz,2.575,200000007,77680355,SUCCESS,1386.41
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.498,200000005,80069417,SUCCESS,1386.88
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,2.016,200000001,99229201,SUCCESS,1407.97
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,2.177,200000007,91868837,SUCCESS,1412.75
gtraces_v2,arizona_0000.champsim.gz,1.762,200000000,113507496,SUCCESS,1433.58
ai-ml,llama2.c-stories42M.3.champsimtrace.gz,2.218,200000001,90154248,SUCCESS,1441.70
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,2.699,200000004,74096948,SUCCESS,1437.28
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,2.208,200000004,90587816,SUCCESS,1447.11
gtraces_v2,charlie_0000.champsim.gz,1.423,200000002,140532770,SUCCESS,1469.44
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,2.21,200000000,90500031,SUCCESS,1488.55
gtraces_v2,arizona_0001.champsim.gz,1.754,200000001,114016727,SUCCESS,1483.60
SPEC17,602.gcc_s-734B.champsimtrace.xz,2.002,200000001,99891959,SUCCESS,1539.88
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M.champsimtrace.xz,1.852,200000007,107985900,SUCCESS,1568.91
SPEC17,602.gcc_s-1850B.champsimtrace.xz,1.389,200000000,143951383,SUCCESS,1566.62
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.41,200000002,141891166,SUCCESS,1587.85
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.647,200000001,75565932,SUCCESS,1585.60
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.96,200000005,102066810,SUCCESS,1590.46
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.96,200000005,102065331,SUCCESS,1596.99
ai-ml,llama2.c-stories110M.1.champsimtrace.gz,1.945,200000000,102853499,SUCCESS,1593.59
gtraces_v2,charlie_0001.champsim.gz,1.335,200000001,149796391,SUCCESS,1599.71
ai-ml,llama2.c-stories110M.2.champsimtrace.gz,1.933,200000000,103461529,SUCCESS,1604.86
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.95,200000000,102584071,SUCCESS,1617.63
ai-ml,llama2.c-stories110M.3.champsimtrace.gz,1.923,200000003,103994737,SUCCESS,1621.34
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,2.675,200000001,74774808,SUCCESS,1648.64
Graph/Ligra,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.541,200000003,129782255,SUCCESS,1658.74
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,1.028,200000000,194525188,SUCCESS,1672.50
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,2.675,200000002,74772892,SUCCESS,1671.05
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.541,200000000,129807586,SUCCESS,1679.75
SPEC17,607.cactuBSSN_s-2421B.champsimtrace.xz,2.742,200000003,72936940,SUCCESS,1738.54
ai-ml,bark.cpp-bark-small.coarse_token_gen.5.champsimtrace.gz,1.893,200000007,105640169,SUCCESS,1762.64
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.2.champsimtrace.gz,2.605,200000002,76783379,SUCCESS,1765.27
Graph/Ligra,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M.champsimtrace.xz,1.398,200000003,143094864,SUCCESS,1837.10
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M.champsimtrace.xz,1.033,200000003,193558472,SUCCESS,1841.08
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248.champsimstrace.gz,0.913,200000003,219056416,SUCCESS,1847.13
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M.champsimtrace.xz,1.451,200000000,137878169,SUCCESS,1850.40
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367.champsimtrace.gz,1.114,200000001,179469415,SUCCESS,1877.49
gtraces_v2,charlie_0004.champsim.gz,1.023,200000004,195580541,SUCCESS,1890.84
Graph/Ligra,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,0.9626,200000000,207778028,SUCCESS,1907.97
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-117.champsimtrace.gz,0.7732,200000000,258660369,SUCCESS,1921.76
SPEC17,654.roms_s-523B.champsimtrace.xz,1.678,200000006,119177003,SUCCESS,1932.51
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.1.champsimtrace.gz,2.352,200000001,85036312,SUCCESS,1962.11
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80.champsimtrace.gz,1.055,200000001,189589245,SUCCESS,1970.60
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M.champsimtrace.xz,1.067,200000002,187392814,SUCCESS,1984.88
Graph/GAP,bfs-14.trace.gz,0.7876,200000001,253936796,SUCCESS,2013.39
gtraces_v2,yankee_0002.champsim.gz,0.8335,200000000,239964604,SUCCESS,2031.17
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.1.champsimtrace.gz,1.797,200000003,111303166,SUCCESS,2059.91
gtraces_v2,merced_0000.champsim.gz,0.8158,200000001,245143193,SUCCESS,2070.80
gtraces_v2,charlie_0002.champsim.gz,0.8998,200000006,222274284,SUCCESS,2127.66
Graph/Ligra,ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,0.7583,200000003,263732468,SUCCESS,2137.51
Graph/GAP,bfs-10.trace.gz,0.7141,200000001,280086820,SUCCESS,2138.55
Graph/Ligra,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M.champsimtrace.xz,1.174,200000000,170346140,SUCCESS,2198.42
gtraces_v2,tahoe_0004.champsim.gz,0.7205,200000003,277565835,SUCCESS,2222.65
gtraces_v2,charlie_0003.champsim.gz,0.8154,200000007,245291412,SUCCESS,2230.10
gtraces_v2,merced_0004.champsim.gz,0.7202,200000001,277706851,SUCCESS,2251.30
gtraces_v2,tahoe_0000.champsim.gz,0.7286,200000001,274497377,SUCCESS,2264.50
gtraces_v2,tahoe_0002.champsim.gz,0.7766,200000001,257522195,SUCCESS,2278.31
gtraces_v2,tango_0001.champsim.gz,0.7753,200000000,257980886,SUCCESS,2300.39
gtraces_v2,yankee_0003.champsim.gz,0.6924,200000002,288841826,SUCCESS,2307.52
gtraces_v2,yankee_0004.champsim.gz,0.686,200000007,291525766,SUCCESS,2330.01
gtraces_v2,tango_0002.champsim.gz,0.7137,200000000,280239545,SUCCESS,2340.20
gtraces_v2,tango_0004.champsim.gz,0.7211,200000000,277358433,SUCCESS,2347.16
gtraces_v2,merced_0002.champsim.gz,0.6766,200000006,295604456,SUCCESS,2352.84
gtraces_v2,yankee_0001.champsim.gz,0.6764,200000000,295704880,SUCCESS,2355.92
gtraces_v2,yankee_0000.champsim.gz,0.664,200000007,301184291,SUCCESS,2385.32
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M.champsimtrace.xz,1.058,200000006,189123577,SUCCESS,2399.89
gtraces_v2,tango_0000.champsim.gz,0.6925,200000001,288810895,SUCCESS,2391.41
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-137.champsimtrace.gz,0.58,200000004,344831141,SUCCESS,2474.10
gtraces_v2,tango_0003.champsim.gz,0.6652,200000000,300681872,SUCCESS,2479.07
gtraces_v2,sierra.a.3_0001.champsim.gz,0.6332,200000002,315842343,SUCCESS,2513.99
gtraces_v2,merced_0003.champsim.gz,0.633,200000007,315936502,SUCCESS,2524.03
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-360.champsimtrace.gz,0.5708,200000000,350400595,SUCCESS,2547.44
gtraces_v2,sierra.a.3_0002.champsim.gz,0.6232,200000000,320913764,SUCCESS,2559.62
gtraces_v2,tahoe_0003.champsim.gz,0.6056,200000006,330270093,SUCCESS,2569.24
gtraces_v2,merced_0001.champsim.gz,0.6338,200000001,315541055,SUCCESS,2573.73
gtraces_v2,sierra.a.3_0003.champsim.gz,0.62,200000004,322600710,SUCCESS,2615.84
gtraces_v2,sierra.a.3_0004.champsim.gz,0.604,200000001,331121886,SUCCESS,2625.19
gtraces_v2,tahoe_0001.champsim.gz,0.6065,200000000,329758889,SUCCESS,2639.90
gtraces_v2,sierra.a.6_0000.champsim.gz,0.5933,200000000,337109423,SUCCESS,2671.70
gtraces_v2,sierra.a.6_0002.champsim.gz,0.5707,200000002,350451191,SUCCESS,2752.48
gtraces_v2,sierra.a.6_0004.champsim.gz,0.5827,200000002,343256970,SUCCESS,2760.25
gtraces_v2,sierra.a.6_0001.champsim.gz,0.561,200000005,356494392,SUCCESS,2772.49
Graph/GAP,sssp-10.trace.gz,0.6573,200000004,304295826,SUCCESS,2808.31
gtraces_v2,sierra.a.6_0003.champsim.gz,0.5437,200000001,367817442,SUCCESS,2804.33
Graph/GAP,sssp-14.trace.gz,0.6567,200000003,304566379,SUCCESS,2826.79
gtraces_v2,sierra.a.3_0000.champsim.gz,0.5378,200000006,371881681,SUCCESS,2839.57
SPEC17,605.mcf_s-484B.champsimtrace.xz,0.851,200000001,235010468,SUCCESS,2899.90
