Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.535,200000004,56569829,SUCCESS,1249.07
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.258,200000003,61391774,SUCCESS,1267.67
ai-ml,clip_trace_3.champsimtrace.gz,3.212,200000005,62266827,SUCCESS,1292.92
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.469,200000004,57650855,SUCCESS,1299.09
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.403,200000006,58776986,SUCCESS,1323.59
ai-ml,whisper_trace_3.champsimtrace.gz,2.985,200000002,67000597,SUCCESS,1433.78
ai-ml,whisper_trace_2.champsimtrace.gz,2.989,200000006,66922771,SUCCESS,1432.83
ai-ml,whisper_trace_1.champsimtrace.gz,2.975,200000005,67230044,SUCCESS,1448.78
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.254,200000003,88720408,SUCCESS,1512.51
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.251,200000003,88838811,SUCCESS,1512.78
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.211,200000002,90444933,SUCCESS,1516.93
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,3.079,200000003,64945698,SUCCESS,1544.88
gtraces_v2,arizona_0002.champsim.gz,1.981,200000007,100959743,SUCCESS,1551.58
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,2.232,200000002,89622591,SUCCESS,1567.01
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,2.175,200000007,91953541,SUCCESS,1588.63
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.651,200000001,75435630,SUCCESS,1592.22
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,2.02,200000003,99024089,SUCCESS,1616.49
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,2.097,200000002,95390724,SUCCESS,1611.69
gtraces_v2,arizona_0000.champsim.gz,1.738,200000000,115059531,SUCCESS,1642.72
ai-ml,llama2.c-stories42M.3.champsimtrace.gz,2.218,200000001,90171552,SUCCESS,1645.97
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,2.219,200000000,90111889,SUCCESS,1663.25
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,2.21,200000002,90491444,SUCCESS,1699.61
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M.champsimtrace.xz,1.853,200000007,107940385,SUCCESS,1776.81
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.647,200000005,75562643,SUCCESS,1778.84
ai-ml,llama2.c-stories110M.2.champsimtrace.gz,1.933,200000000,103471719,SUCCESS,1792.66
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.41,200000000,141878992,SUCCESS,1807.56
ai-ml,llama2.c-stories110M.1.champsimtrace.gz,1.941,200000000,103035034,SUCCESS,1814.64
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.959,200000005,102099146,SUCCESS,1827.55
ai-ml,llama2.c-stories110M.3.champsimtrace.gz,1.922,200000003,104054380,SUCCESS,1824.43
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.951,200000000,102494202,SUCCESS,1832.51
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.972,200000005,101437323,SUCCESS,1853.64
gtraces_v2,charlie_0001.champsim.gz,1.283,200000001,155944132,SUCCESS,1858.74
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,2.675,200000003,74777027,SUCCESS,1861.95
Graph/Ligra,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.54,200000003,129891589,SUCCESS,1909.66
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.541,200000000,129781188,SUCCESS,1910.00
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,2.676,200000004,74742371,SUCCESS,1906.09
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,1.029,200000000,194407762,SUCCESS,1911.26
