Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.471,200000006,57612093,SUCCESS,1112.57
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.214,200000000,62220238,SUCCESS,1120.20
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.367,200000004,59394936,SUCCESS,1138.49
ai-ml,clip_trace_3.champsimtrace.gz,3.117,200000005,64170448,SUCCESS,1157.71
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.309,200000007,60443683,SUCCESS,1174.85
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.651,200000005,121104765,SUCCESS,1181.07
ai-ml,whisper_trace_3.champsimtrace.gz,2.922,200000003,68457477,SUCCESS,1278.26
ai-ml,whisper_trace_2.champsimtrace.gz,2.923,200000005,68431540,SUCCESS,1288.33
ai-ml,whisper_trace_1.champsimtrace.gz,2.909,200000004,68758364,SUCCESS,1295.02
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.201,200000003,90868695,SUCCESS,1322.53
SPEC17,654.roms_s-293B.champsimtrace.xz,2.802,200000004,71367623,SUCCESS,1323.36
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.185,200000002,91520756,SUCCESS,1342.10
gtraces_v2,arizona_0002.champsim.gz,1.921,200000007,104126204,SUCCESS,1354.31
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.211,200000003,90471441,SUCCESS,1362.68
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.999,200000003,66685997,SUCCESS,1360.64
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,2.687,200000001,74445450,SUCCESS,1357.53
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.389,200000000,83716951,SUCCESS,1360.64
SPEC17,654.roms_s-294B.champsimtrace.xz,2.575,200000004,77677298,SUCCESS,1371.09
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.582,200000007,77465528,SUCCESS,1434.32
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,1.933,200000001,103492508,SUCCESS,1450.87
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.181,200000001,91717788,SUCCESS,1444.43
gtraces_v2,arizona_0000.champsim.gz,1.7,200000000,117681291,SUCCESS,1478.41
gtraces_v2,arizona_0001.champsim.gz,1.695,200000001,117977547,SUCCESS,1528.07
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,1.787,200000003,111893927,SUCCESS,1555.89
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,1.778,200000002,112504313,SUCCESS,1560.88
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,1.772,200000003,112855582,SUCCESS,1572.30
gtraces_v2,charlie_0000.champsim.gz,1.282,200000002,155963481,SUCCESS,1603.90
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.396,200000000,143250637,SUCCESS,1636.92
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.594,200000004,77095552,SUCCESS,1639.36
SPEC17,602.gcc_s-734B.champsimtrace.xz,1.9,200000001,105259076,SUCCESS,1648.45
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,1.78,200000004,112331728,SUCCESS,1667.48
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.909,200000000,104757474,SUCCESS,1673.91
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.918,200000005,104271812,SUCCESS,1676.06
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,1.785,200000000,112017408,SUCCESS,1672.28
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.92,200000005,104161970,SUCCESS,1700.59
ai-ml,llama2.c-stories42M.3.champsimtrace.gz,1.786,200000001,111997551,SUCCESS,1717.91
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,2.607,200000004,76709621,SUCCESS,1719.74
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,2.096,200000004,95405522,SUCCESS,1722.03
SPEC17,602.gcc_s-1850B.champsimtrace.xz,1.207,200000000,165702688,SUCCESS,1759.80
Graph/Ligra,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.47,200000003,136045880,SUCCESS,1779.42
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,2.598,200000003,76968058,SUCCESS,1781.27
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,1.032,200000000,193851260,SUCCESS,1785.92
gtraces_v2,charlie_0001.champsim.gz,1.192,200000006,167758639,SUCCESS,1792.34
