Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.478,200000004,57502294,SUCCESS,1196.98
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.161,200000005,63267270,SUCCESS,1240.11
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.421,200000001,58460784,SUCCESS,1257.17
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.365,200000000,59441781,SUCCESS,1264.72
ai-ml,clip_trace_3.champsimtrace.gz,3.158,200000006,63338371,SUCCESS,1271.35
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.675,200000000,119412244,SUCCESS,1281.12
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,3.233,200000004,61870195,SUCCESS,1286.45
ai-ml,whisper_trace_3.champsimtrace.gz,2.925,200000002,68373942,SUCCESS,1357.83
ai-ml,whisper_trace_1.champsimtrace.gz,2.912,200000004,68683723,SUCCESS,1373.73
ai-ml,whisper_trace_2.champsimtrace.gz,2.92,200000006,68492775,SUCCESS,1373.59
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.219,200000002,90144854,SUCCESS,1411.06
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.24,200000003,89295924,SUCCESS,1430.84
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.233,200000003,89565807,SUCCESS,1445.53
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.972,200000006,67283513,SUCCESS,1458.22
gtraces_v2,arizona_0002.champsim.gz,1.949,200000007,102619909,SUCCESS,1457.94
SPEC17,654.roms_s-293B.champsimtrace.xz,2.594,200000004,77099969,SUCCESS,1482.66
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,2.053,200000005,97399431,SUCCESS,1517.05
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.548,200000004,78483393,SUCCESS,1518.91
