Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.477,200000000,57528504,SUCCESS,1054.61
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.16,200000001,63294210,SUCCESS,1118.20
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.42,200000006,58473158,SUCCESS,1122.63
ai-ml,clip_trace_3.champsimtrace.gz,3.159,200000002,63318182,SUCCESS,1123.43
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.358,200000001,59551176,SUCCESS,1139.15
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.675,200000000,119406032,SUCCESS,1134.79
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,3.233,200000004,61858085,SUCCESS,1176.75
ai-ml,whisper_trace_1.champsimtrace.gz,2.913,200000001,68656783,SUCCESS,1233.69
ai-ml,whisper_trace_3.champsimtrace.gz,2.926,200000000,68347999,SUCCESS,1247.35
ai-ml,whisper_trace_2.champsimtrace.gz,2.921,200000002,68467187,SUCCESS,1247.62
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.219,200000002,90120849,SUCCESS,1258.53
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.234,200000003,89539946,SUCCESS,1275.32
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.238,200000003,89367936,SUCCESS,1284.84
gtraces_v2,arizona_0002.champsim.gz,1.861,200000007,107493073,SUCCESS,1309.54
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.98,200000006,67103933,SUCCESS,1320.19
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,2.075,200000005,96397273,SUCCESS,1348.18
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.539,200000007,78772248,SUCCESS,1350.78
SPEC17,654.roms_s-293B.champsimtrace.xz,2.594,200000003,77094311,SUCCESS,1354.25
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,2.056,200000001,97264282,SUCCESS,1365.31
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.217,200000001,90220507,SUCCESS,1359.63
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,2.023,200000003,98860707,SUCCESS,1370.58
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,1.933,200000003,103454785,SUCCESS,1398.02
SPEC17,654.roms_s-294B.champsimtrace.xz,2.343,200000004,85351352,SUCCESS,1387.33
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.238,200000004,89370001,SUCCESS,1417.91
gtraces_v2,arizona_0000.champsim.gz,1.683,200000000,118837235,SUCCESS,1432.24
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,2.514,200000006,79558821,SUCCESS,1448.41
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,2.026,200000004,98710324,SUCCESS,1472.87
gtraces_v2,arizona_0001.champsim.gz,1.674,200000001,119447437,SUCCESS,1472.61
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,2.044,200000005,97843942,SUCCESS,1492.91
ai-ml,llama2.c-stories42M.3.champsimtrace.gz,2.01,200000001,99490054,SUCCESS,1498.76
gtraces_v2,charlie_0000.champsim.gz,1.275,200000002,156883070,SUCCESS,1520.33
SPEC17,602.gcc_s-1850B.champsimtrace.xz,1.389,200000000,144020693,SUCCESS,1519.93
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.543,200000002,78634987,SUCCESS,1541.17
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M.champsimtrace.xz,1.833,200000007,109090877,SUCCESS,1551.30
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.913,200000005,104520609,SUCCESS,1560.76
ai-ml,llama2.c-stories110M.2.champsimtrace.gz,1.848,200000000,108224144,SUCCESS,1562.91
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.915,200000005,104458494,SUCCESS,1567.63
