Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.957,200000005,102215626,SUCCESS,1085.40
ai-ml,clip_trace_1.champsimtrace.gz,3.545,200000000,56415835,SUCCESS,1104.79
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.255,200000000,61451100,SUCCESS,1144.46
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.397,200000007,58868665,SUCCESS,1162.55
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.485,200000002,57396938,SUCCESS,1163.01
ai-ml,clip_trace_3.champsimtrace.gz,3.206,200000007,62390318,SUCCESS,1167.77
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,3.48,200000000,57469285,SUCCESS,1178.18
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,2.37,200000001,84381973,SUCCESS,1296.11
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,2.406,200000007,83125051,SUCCESS,1297.15
ai-ml,whisper_trace_2.champsimtrace.gz,2.982,200000000,67079747,SUCCESS,1298.63
ai-ml,whisper_trace_3.champsimtrace.gz,2.988,200000000,66928620,SUCCESS,1304.66
ai-ml,whisper_trace_1.champsimtrace.gz,2.974,200000001,67260631,SUCCESS,1310.20
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,2.334,200000000,85699664,SUCCESS,1316.25
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.187,200000002,91451337,SUCCESS,1320.59
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.661,200000005,75150843,SUCCESS,1320.43
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.247,200000002,89006001,SUCCESS,1336.42
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.18,200000003,91750573,SUCCESS,1338.07
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,2.149,200000003,93051802,SUCCESS,1344.02
gtraces_v2,arizona_0002.champsim.gz,1.854,200000001,107851192,SUCCESS,1364.34
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,2.42,200000004,82627805,SUCCESS,1375.05
SPEC17,654.roms_s-293B.champsimtrace.xz,2.704,200000004,73965147,SUCCESS,1369.39
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,2.418,200000005,82713985,SUCCESS,1379.33
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.319,200000005,86241524,SUCCESS,1378.05
ai-ml,llama2.c-stories42M.3.champsimtrace.gz,2.388,200000001,83735578,SUCCESS,1398.31
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.618,200000001,76395819,SUCCESS,1424.23
SPEC17,654.roms_s-294B.champsimtrace.xz,2.52,200000006,79355166,SUCCESS,1433.76
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,3.067,200000004,65219033,SUCCESS,1445.60
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,3.038,200000000,65842915,SUCCESS,1467.80
ai-ml,llama2.c-stories110M.2.champsimtrace.gz,2.055,200000000,97308923,SUCCESS,1495.52
gtraces_v2,arizona_0000.champsim.gz,1.629,200000000,122792875,SUCCESS,1503.76
ai-ml,llama2.c-stories110M.1.champsimtrace.gz,2.055,200000003,97317525,SUCCESS,1508.41
SPEC17,602.gcc_s-1850B.champsimtrace.xz,1.504,200000000,132953695,SUCCESS,1513.34
ai-ml,llama2.c-stories110M.3.champsimtrace.gz,2.082,200000006,96048099,SUCCESS,1543.19
gtraces_v2,arizona_0001.champsim.gz,1.632,200000000,122568161,SUCCESS,1547.18
SPEC17,602.gcc_s-734B.champsimtrace.xz,2.067,200000002,96749926,SUCCESS,1549.00
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.942,200000005,102989547,SUCCESS,1579.88
