Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.977,200000004,101150468,SUCCESS,1813.11
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,2.155,200000003,92825707,SUCCESS,1505.48
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.977,200000005,101151571,SUCCESS,1802.73
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.965,200000000,101762220,SUCCESS,1791.80
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.249,200000002,88920326,SUCCESS,1510.14
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.136,200000003,93620398,SUCCESS,1515.39
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.536,200000002,56566078,SUCCESS,1300.85
ai-ml,clip_trace_3.champsimtrace.gz,3.233,200000005,61859364,SUCCESS,1305.68
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.193,200000003,91203065,SUCCESS,1483.04
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.698,200000000,117817736,SUCCESS,1847.45
Graph/Ligra,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M.champsimtrace.xz,1.534,200000003,130370285,SUCCESS,2091.10
Graph/Ligra,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.699,200000004,117742300,SUCCESS,1870.57
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.442,200000005,58112141,SUCCESS,1302.79
ai-ml,llama2.c-stories110M.2.champsimtrace.gz,2.241,200000000,89237193,SUCCESS,1587.71
ai-ml,whisper_trace_3.champsimtrace.gz,2.984,200000002,67014365,SUCCESS,1541.05
ai-ml,llama2.c-stories110M.1.champsimtrace.gz,2.24,200000003,89274855,SUCCESS,1634.15
Graph/Ligra,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,1.054,200000000,189767898,SUCCESS,2039.11
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,2.656,200000001,75294126,SUCCESS,1403.45
