Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.882,200000005,106268447,SUCCESS,1028.83
ai-ml,clip_trace_1.champsimtrace.gz,3.295,200000006,60692067,SUCCESS,1082.93
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.061,200000005,65329272,SUCCESS,1121.14
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.15,200000005,63494473,SUCCESS,1125.46
ai-ml,clip_trace_3.champsimtrace.gz,2.885,200000000,69320581,SUCCESS,1147.41
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.031,200000007,65982627,SUCCESS,1173.45
ai-ml,whisper_trace_3.champsimtrace.gz,2.752,200000002,72666931,SUCCESS,1251.40
ai-ml,whisper_trace_1.champsimtrace.gz,2.758,200000001,72527695,SUCCESS,1265.04
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.248,200000002,88973098,SUCCESS,1272.58
ai-ml,whisper_trace_2.champsimtrace.gz,2.752,200000002,72679526,SUCCESS,1278.59
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,1.85,200000001,108117898,SUCCESS,1336.44
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.423,200000001,82540775,SUCCESS,1374.34
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,1.981,200000003,100938331,SUCCESS,1380.37
gtraces_v2,arizona_0002.champsim.gz,1.756,200000002,113900382,SUCCESS,1382.60
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,1.983,200000003,100854587,SUCCESS,1396.46
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.79,200000005,71696500,SUCCESS,1426.72
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.412,200000000,82919243,SUCCESS,1507.53
gtraces_v2,arizona_0000.champsim.gz,1.555,200000000,128630456,SUCCESS,1521.39
gtraces_v2,arizona_0001.champsim.gz,1.566,200000001,127745864,SUCCESS,1550.01
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,1.553,200000000,128784205,SUCCESS,1556.21
SPEC17,607.cactuBSSN_s-2421B.champsimtrace.xz,2.273,200000005,87989580,SUCCESS,1558.21
SPEC17,621.wrf_s-6673B.champsimtrace.xz,1.604,200000001,124685512,SUCCESS,1589.26
gtraces_v2,charlie_0000.champsim.gz,1.182,200000002,169206951,SUCCESS,1603.39
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,2.453,200000005,81545285,SUCCESS,1613.73
SPEC17,602.gcc_s-1850B.champsimtrace.xz,1.259,200000000,158901637,SUCCESS,1611.28
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,2.451,200000001,81593611,SUCCESS,1622.10
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,1.323,200000007,151142461,SUCCESS,1633.20
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.2.champsimtrace.gz,2.395,200000004,83522220,SUCCESS,1663.75
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,1.295,200000003,154448078,SUCCESS,1668.14
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,1.272,200000001,157288285,SUCCESS,1676.82
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,0.9443,200000000,211793695,SUCCESS,1721.64
SPEC17,602.gcc_s-734B.champsimtrace.xz,1.609,200000003,124298112,SUCCESS,1713.26
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.543,200000007,129622027,SUCCESS,1730.20
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,1.26,200000006,158700146,SUCCESS,1733.64
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.538,200000000,130055217,SUCCESS,1739.04
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.542,200000005,129684389,SUCCESS,1746.61
SPEC17,654.roms_s-293B.champsimtrace.xz,1.608,200000003,124367375,SUCCESS,1736.13
Graph/Ligra,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.33,200000000,150380842,SUCCESS,1756.96
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.33,200000000,150322611,SUCCESS,1773.75
ai-ml,llama2.c-stories110M.2.champsimtrace.gz,1.255,200000000,159411855,SUCCESS,1781.19
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.116,200000001,179164014,SUCCESS,1792.56
ai-ml,llama2.c-stories42M.3.champsimtrace.gz,1.225,200000001,163213451,SUCCESS,1793.52
gtraces_v2,charlie_0001.champsim.gz,1.061,200000001,188573612,SUCCESS,1793.67
