Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.264,200000007,61275758,SUCCESS,1018.59
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.141,200000000,63682515,SUCCESS,1069.61
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.084,200000001,64844243,SUCCESS,1077.50
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.064,200000007,65277658,SUCCESS,1086.71
ai-ml,clip_trace_3.champsimtrace.gz,2.859,200000002,69959677,SUCCESS,1107.12
ai-ml,whisper_trace_2.champsimtrace.gz,2.835,200000000,70545277,SUCCESS,1147.31
ai-ml,whisper_trace_3.champsimtrace.gz,2.851,200000001,70144261,SUCCESS,1151.30
ai-ml,whisper_trace_1.champsimtrace.gz,2.824,200000001,70831051,SUCCESS,1165.20
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.839,200000000,70439637,SUCCESS,1212.31
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.403,200000002,83220362,SUCCESS,1314.40
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,1.995,200000003,100250101,SUCCESS,1352.37
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.407,200000003,83089692,SUCCESS,1357.58
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,1.993,200000003,100336762,SUCCESS,1375.33
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,2.546,200000003,78560226,SUCCESS,1385.87
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,1.861,200000002,107469209,SUCCESS,1388.46
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,2.544,200000005,78604905,SUCCESS,1408.42
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.2.champsimtrace.gz,2.478,200000006,80717690,SUCCESS,1454.49
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.1.champsimtrace.gz,2.205,200000005,90691386,SUCCESS,1554.84
gtraces_v2,arizona_0001.champsim.gz,1.475,200000001,135621754,SUCCESS,1585.96
gtraces_v2,arizona_0002.champsim.gz,1.389,200000007,144020365,SUCCESS,1596.29
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,1.007,200000000,198708041,SUCCESS,1637.73
SPEC17,607.cactuBSSN_s-2421B.champsimtrace.xz,1.858,200000007,107663283,SUCCESS,1668.06
gtraces_v2,arizona_0000.champsim.gz,1.296,200000000,154283301,SUCCESS,1687.98
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.1.champsimtrace.gz,1.715,200000002,116621350,SUCCESS,1747.69
ai-ml,bark.cpp-bark-small.coarse_token_gen.5.champsimtrace.gz,1.467,200000006,136297254,SUCCESS,1755.23
gtraces_v2,charlie_0000.champsim.gz,1.035,200000000,193229429,SUCCESS,1758.24
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.148,200000001,174155260,SUCCESS,1779.73
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367.champsimtrace.gz,1.126,200000001,177583999,SUCCESS,1796.27
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80.champsimtrace.gz,1.099,200000001,182003411,SUCCESS,1811.11
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248.champsimstrace.gz,0.8985,200000003,222586696,SUCCESS,1814.40
SPEC17,621.wrf_s-6673B.champsimtrace.xz,1.219,200000005,164052852,SUCCESS,1912.00
SPEC17,654.roms_s-293B.champsimtrace.xz,1.295,200000004,154439080,SUCCESS,1927.90
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M.champsimtrace.xz,0.9053,200000003,220931637,SUCCESS,1957.36
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,1.06,200000001,188699131,SUCCESS,1966.81
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.293,200000007,154631759,SUCCESS,1978.85
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.29,200000000,155001425,SUCCESS,1980.67
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.293,200000007,154667721,SUCCESS,1992.09
gtraces_v2,charlie_0001.champsim.gz,0.8646,200000006,231314069,SUCCESS,2075.79
SPEC17,654.roms_s-294B.champsimtrace.xz,1.083,200000007,184727395,SUCCESS,2114.57
gtraces_v2,charlie_0004.champsim.gz,0.8371,200000004,238906293,SUCCESS,2116.89
SPEC17,623.xalancbmk_s-10B.champsimtrace.xz,0.8494,200000005,235452204,SUCCESS,2278.71
