Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.779,200000007,112417023,SUCCESS,1840.72
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.778,200000007,112477478,SUCCESS,1842.48
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.77,200000000,113001607,SUCCESS,1866.17
Graph/Ligra,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M.champsimtrace.xz,1.189,200000006,168198680,SUCCESS,2271.62
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.24,200000002,89302063,SUCCESS,1427.27
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M.champsimtrace.xz,0.9954,200000002,200930690,SUCCESS,2397.21
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,1.632,200000001,122531679,SUCCESS,1726.79
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.154,200000003,92857465,SUCCESS,1485.57
Graph/Ligra,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.351,200000001,148060099,SUCCESS,1992.17
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.349,200000004,148293515,SUCCESS,2097.80
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M.champsimtrace.xz,1.063,200000002,188218505,SUCCESS,2043.72
Graph/Ligra,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M.champsimtrace.xz,1.08,200000000,185233533,SUCCESS,2560.51
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.145,200000003,93240861,SUCCESS,1506.59
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248.champsimstrace.gz,0.9297,200000007,215116041,SUCCESS,2030.38
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M.champsimtrace.xz,1.418,200000007,141071304,SUCCESS,2190.92
ai-ml,clip_trace_3.champsimtrace.gz,3.015,200000002,66342610,SUCCESS,1281.21
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M.champsimtrace.xz,1.311,200000005,152552784,SUCCESS,2269.56
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,1.035,200000000,193253553,SUCCESS,1882.13
Graph/Ligra,ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,0.7153,200000002,279612048,SUCCESS,2477.94
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.271,200000000,157392361,SUCCESS,1949.50
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80.champsimtrace.gz,1.105,200000002,181055856,SUCCESS,2148.65
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.283,200000006,60915139,SUCCESS,1285.98
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367.champsimtrace.gz,1.137,200000001,175946599,SUCCESS,2188.69
Graph/Ligra,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,0.6766,200000000,295609337,SUCCESS,2650.24
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.221,200000001,62088384,SUCCESS,1266.01
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-117.champsimtrace.gz,0.6227,200000000,321189248,SUCCESS,2631.79
ai-ml,whisper_trace_3.champsimtrace.gz,2.804,200000000,71325014,SUCCESS,1587.88
ai-ml,llama2.c-stories110M.1.champsimtrace.gz,1.634,200000006,122422376,SUCCESS,1864.51
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M.champsimtrace.xz,0.9683,200000004,206543229,SUCCESS,2982.54
ai-ml,llama2.c-stories110M.2.champsimtrace.gz,1.644,200000000,121664976,SUCCESS,1927.35
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,1.846,200000005,108366796,SUCCESS,1718.28
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.838,200000005,70469854,SUCCESS,1575.53
ai-ml,whisper_trace_1.champsimtrace.gz,2.796,200000001,71522848,SUCCESS,1560.23
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,1.841,200000004,108645039,SUCCESS,1707.15
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.494,200000000,80194000,SUCCESS,1748.07
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,1.93,200000002,103600258,SUCCESS,1569.41
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.48,200000001,80659191,SUCCESS,1734.25
Graph/GAP,sssp-10.trace.gz,0.769,200000004,260081388,SUCCESS,2767.36
ai-ml,whisper_trace_2.champsimtrace.gz,2.808,200000005,71224953,SUCCESS,1572.48
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,1.925,200000003,103908425,SUCCESS,1579.96
ai-ml,clip_trace_1.champsimtrace.gz,3.385,200000000,59087783,SUCCESS,1214.71
Graph/GAP,sssp-14.trace.gz,0.7659,200000007,261134544,SUCCESS,2779.28
Graph/GAP,bfs-14.trace.gz,0.5866,200000001,340924261,SUCCESS,2776.91
