Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.757,200000005,113846035,SUCCESS,1273.01
ai-ml,clip_trace_1.champsimtrace.gz,3.477,200000006,57517576,SUCCESS,1281.57
ai-ml,clip_trace_3.champsimtrace.gz,3.123,200000001,64044902,SUCCESS,1305.06
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.375,200000006,59266718,SUCCESS,1305.95
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.331,200000003,60048870,SUCCESS,1326.56
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.236,200000001,61803057,SUCCESS,1330.79
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.246,200000002,89042212,SUCCESS,1449.16
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.202,200000003,90828941,SUCCESS,1472.70
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.212,200000003,90404486,SUCCESS,1480.25
SPEC17,654.roms_s-293B.champsimtrace.xz,2.799,200000004,71444307,SUCCESS,1481.89
ai-ml,whisper_trace_3.champsimtrace.gz,2.957,200000006,67635819,SUCCESS,1504.48
ai-ml,whisper_trace_2.champsimtrace.gz,2.959,200000005,67582664,SUCCESS,1507.45
ai-ml,whisper_trace_1.champsimtrace.gz,2.945,200000006,67921425,SUCCESS,1518.56
gtraces_v2,arizona_0002.champsim.gz,1.915,200000007,104455167,SUCCESS,1519.77
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,2.147,200000000,93155813,SUCCESS,1537.48
SPEC17,654.roms_s-294B.champsimtrace.xz,2.574,200000007,77700588,SUCCESS,1540.94
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.276,200000005,87890850,SUCCESS,1547.97
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,2.163,200000002,92443136,SUCCESS,1564.14
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,2.662,200000007,75143645,SUCCESS,1560.99
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,2.119,200000007,94363401,SUCCESS,1574.07
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.193,200000001,91215469,SUCCESS,1590.51
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,1.956,200000001,102239500,SUCCESS,1618.27
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.966,200000003,67428450,SUCCESS,1648.04
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,2.094,200000004,95516988,SUCCESS,1667.03
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.612,200000004,76577894,SUCCESS,1668.23
gtraces_v2,arizona_0000.champsim.gz,1.697,200000000,117880746,SUCCESS,1678.06
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,2.08,200000005,96132009,SUCCESS,1691.12
ai-ml,llama2.c-stories42M.3.champsimtrace.gz,2.08,200000001,96134003,SUCCESS,1709.40
gtraces_v2,arizona_0001.champsim.gz,1.677,200000000,119278623,SUCCESS,1712.40
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.404,200000001,142419230,SUCCESS,1793.19
gtraces_v2,charlie_0000.champsim.gz,1.271,200000002,157380033,SUCCESS,1787.20
SPEC17,602.gcc_s-734B.champsimtrace.xz,1.994,200000002,100304130,SUCCESS,1786.56
ai-ml,llama2.c-stories110M.2.champsimtrace.gz,1.82,200000000,109905425,SUCCESS,1820.44
ai-ml,llama2.c-stories110M.1.champsimtrace.gz,1.835,200000006,108989856,SUCCESS,1825.12
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.888,200000005,105934692,SUCCESS,1835.34
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.553,200000000,78344963,SUCCESS,1853.65
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.88,200000000,106375864,SUCCESS,1864.99
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.889,200000005,105887159,SUCCESS,1865.63
ai-ml,llama2.c-stories110M.3.champsimtrace.gz,1.818,200000006,110040114,SUCCESS,1864.44
SPEC17,602.gcc_s-1850B.champsimtrace.xz,1.249,200000000,160166015,SUCCESS,1865.75
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,2.091,200000004,95664886,SUCCESS,1898.75
Graph/Ligra,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.496,200000003,133734184,SUCCESS,1921.41
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,1.033,200000000,193590797,SUCCESS,1924.00
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,1.496,200000002,133725620,SUCCESS,1940.92
ai-ml,bark.cpp-bark-small.coarse_token_gen.5.champsimtrace.gz,1.93,200000000,103632085,SUCCESS,1955.75
gtraces_v2,charlie_0001.champsim.gz,1.188,200000001,168418540,SUCCESS,1972.69
SPEC17,607.cactuBSSN_s-2421B.champsimtrace.xz,2.759,200000006,72483536,SUCCESS,1972.37
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,2.564,200000005,77999267,SUCCESS,2004.42
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,2.556,200000001,78247583,SUCCESS,2006.30
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M.champsimtrace.xz,1.094,200000002,182836418,SUCCESS,2069.07
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M.champsimtrace.xz,1.532,200000002,130554681,SUCCESS,2085.40
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.2.champsimtrace.gz,2.491,200000002,80286714,SUCCESS,2129.27
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M.champsimtrace.xz,1.42,200000005,140842443,SUCCESS,2155.78
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248.champsimstrace.gz,0.9278,200000001,215556556,SUCCESS,2160.77
Graph/Ligra,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M.champsimtrace.xz,1.343,200000003,148877563,SUCCESS,2182.62
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367.champsimtrace.gz,1.11,200000001,180229636,SUCCESS,2199.02
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-117.champsimtrace.gz,0.7719,200000000,259097195,SUCCESS,2252.67
Graph/Ligra,ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,0.8567,200000003,233441494,SUCCESS,2254.68
SPEC17,654.roms_s-523B.champsimtrace.xz,1.61,200000003,124217142,SUCCESS,2278.11
Graph/Ligra,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,0.9135,200000000,218936347,SUCCESS,2314.47
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M.champsimtrace.xz,1.048,200000002,190916811,SUCCESS,2317.88
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80.champsimtrace.gz,1.054,200000001,189841837,SUCCESS,2324.67
gtraces_v2,charlie_0004.champsim.gz,0.912,200000007,219296306,SUCCESS,2345.99
Graph/GAP,bfs-14.trace.gz,0.7228,200000001,276685979,SUCCESS,2436.27
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.1.champsimtrace.gz,1.789,200000002,111798033,SUCCESS,2524.63
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.1.champsimtrace.gz,2.206,200000000,90647412,SUCCESS,2541.27
Graph/Ligra,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M.champsimtrace.xz,1.182,200000000,169233996,SUCCESS,2567.74
Graph/GAP,bfs-10.trace.gz,0.6425,200000001,311283440,SUCCESS,2657.32
gtraces_v2,charlie_0002.champsim.gz,0.7938,200000003,251964471,SUCCESS,2690.23
gtraces_v2,merced_0000.champsim.gz,0.6792,200000001,294476228,SUCCESS,2731.43
gtraces_v2,tahoe_0002.champsim.gz,0.7416,200000001,269701161,SUCCESS,2769.69
gtraces_v2,charlie_0003.champsim.gz,0.7246,200000003,276011334,SUCCESS,2811.85
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M.champsimtrace.xz,1.081,200000000,185058779,SUCCESS,2862.23
gtraces_v2,yankee_0002.champsim.gz,0.6173,200000000,324013020,SUCCESS,2873.47
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-137.champsimtrace.gz,0.572,200000004,349666292,SUCCESS,2941.67
gtraces_v2,tahoe_0000.champsim.gz,0.5927,200000001,337463834,SUCCESS,2984.45
gtraces_v2,merced_0004.champsim.gz,0.5829,200000001,343085345,SUCCESS,3015.48
gtraces_v2,tahoe_0004.champsim.gz,0.5838,200000000,342571155,SUCCESS,3016.68
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-360.champsimtrace.gz,0.5608,200000001,356646453,SUCCESS,3046.01
Graph/GAP,sssp-14.trace.gz,0.7169,200000003,278985724,SUCCESS,3059.37
Graph/GAP,sssp-10.trace.gz,0.7207,200000004,277511437,SUCCESS,3093.09
gtraces_v2,tango_0002.champsim.gz,0.5811,200000000,344202584,SUCCESS,3128.53
gtraces_v2,tango_0001.champsim.gz,0.6547,200000002,305460478,SUCCESS,3137.94
gtraces_v2,tango_0000.champsim.gz,0.5628,200000000,355362475,SUCCESS,3190.52
gtraces_v2,tango_0004.champsim.gz,0.5745,200000000,348147567,SUCCESS,3196.26
gtraces_v2,merced_0002.champsim.gz,0.5408,200000003,369822244,SUCCESS,3228.61
gtraces_v2,yankee_0003.champsim.gz,0.504,200000002,396799683,SUCCESS,3344.34
gtraces_v2,tango_0003.champsim.gz,0.5433,200000000,368139446,SUCCESS,3348.19
gtraces_v2,yankee_0004.champsim.gz,0.4897,200000004,408437024,SUCCESS,3392.85
gtraces_v2,yankee_0001.champsim.gz,0.4934,200000000,405336760,SUCCESS,3400.12
Graph/GAP,cc-5.trace.gz,0.557,200000000,359088675,SUCCESS,3408.72
SPEC17,620.omnetpp_s-874B.champsimtrace.xz,0.5854,200000007,341621351,SUCCESS,3424.04
gtraces_v2,merced_0001.champsim.gz,0.5137,200000001,389321280,SUCCESS,3444.59
gtraces_v2,yankee_0000.champsim.gz,0.4845,200000002,412794721,SUCCESS,3445.96
SPEC17,623.xalancbmk_s-10B.champsimtrace.xz,0.7051,200000005,283634988,SUCCESS,3451.04
gtraces_v2,sierra.a.3_0001.champsim.gz,0.4828,200000002,414248050,SUCCESS,3501.64
gtraces_v2,merced_0003.champsim.gz,0.5055,200000007,395611816,SUCCESS,3514.34
gtraces_v2,tahoe_0003.champsim.gz,0.4793,200000006,417247614,SUCCESS,3539.53
SPEC17,619.lbm_s-2676B.champsimtrace.xz,1.109,200000001,180406547,SUCCESS,3553.95
gtraces_v2,tahoe_0001.champsim.gz,0.4769,200000000,419368471,SUCCESS,3562.17
SPEC17,605.mcf_s-484B.champsimtrace.xz,0.7831,200000001,255403555,SUCCESS,3558.87
gtraces_v2,sierra.a.3_0002.champsim.gz,0.4672,200000000,428074324,SUCCESS,3626.64
gtraces_v2,sierra.a.6_0000.champsim.gz,0.4639,200000000,431110474,SUCCESS,3656.69
Graph/GAP,cc-14.trace.gz,0.479,200000000,417497421,SUCCESS,3670.87
gtraces_v2,sierra.a.3_0003.champsim.gz,0.4475,200000004,446949666,SUCCESS,3784.23
gtraces_v2,sierra.a.3_0004.champsim.gz,0.4394,200000001,455162453,SUCCESS,3797.91
gtraces_v2,sierra.a.6_0004.champsim.gz,0.4453,200000002,449144234,SUCCESS,3799.68
SPEC17,605.mcf_s-1536B.champsimtrace.xz,0.8912,200000007,224424597,SUCCESS,3830.19
gtraces_v2,sierra.a.6_0002.champsim.gz,0.4328,200000002,462139584,SUCCESS,3848.04
gtraces_v2,sierra.a.6_0001.champsim.gz,0.4193,200000003,477010660,SUCCESS,3921.07
SPEC17,605.mcf_s-472B.champsimtrace.xz,0.7155,200000000,279527438,SUCCESS,3928.35
gtraces_v2,sierra.a.3_0000.champsim.gz,0.412,200000006,485406704,SUCCESS,3939.95
Graph/GAP,cc-13.trace.gz,0.4217,200000002,474214755,SUCCESS,3952.97
gtraces_v2,sierra.a.6_0003.champsim.gz,0.4119,200000002,485552431,SUCCESS,3958.56
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M.champsimtrace.xz,0.4556,200000000,438990670,SUCCESS,4108.15
gtraces_v2,sierra.a.4_0004.champsim.gz,0.3976,200000000,503020968,SUCCESS,4157.67
SPEC17,605.mcf_s-1554B.champsimtrace.xz,0.7035,200000000,284292289,SUCCESS,4168.49
gtraces_v2,sierra.a.4_0003.champsim.gz,0.3835,200000004,521488298,SUCCESS,4179.19
gtraces_v2,sierra.a.4_0000.champsim.gz,0.3757,200000001,532273232,SUCCESS,4299.77
ai-ml,rwkv_trace_2.champsimtrace.gz,0.6943,200000004,288072860,SUCCESS,4574.01
gtraces_v2,sierra.a.4_0002.champsim.gz,0.3388,200000000,590318515,SUCCESS,4602.17
gtraces_v2,sierra.a.4_0001.champsim.gz,0.3295,200000005,606975431,SUCCESS,4670.91
ai-ml,biogpt.cpp-ggml-model-tocilizumab.2.champsimtrace.gz,0.5904,200000004,338743431,SUCCESS,4842.83
ai-ml,biogpt.cpp-ggml-model-tocilizumab.3.champsimtrace.gz,0.5848,200000001,342005393,SUCCESS,4866.77
ai-ml,biogpt.cpp-ggml-model-tocilizumab.1.champsimtrace.gz,0.5794,200000001,345195457,SUCCESS,4928.46
SPEC17,619.lbm_s-2677B.champsimtrace.xz,0.6104,200000002,327674487,SUCCESS,5546.34
Graph/Ligra,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,0.2853,200000002,700933854,SUCCESS,6284.83
Graph/GAP,bc-0.trace.gz,0.216,200000000,926102142,SUCCESS,7218.51
Graph/GAP,bc-12.trace.gz,0.1976,200000000,1012113814,SUCCESS,7628.58
SPEC17,605.mcf_s-1644B.champsimtrace.xz,0.2299,200000000,869802129,SUCCESS,8800.52
ai-ml,rwkv_trace_1.champsimtrace.gz,0.1128,200000002,1773646936,SUCCESS,24447.14
