Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.246,200000002,89036169,SUCCESS,1635.20
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.403,200000005,58779209,SUCCESS,1426.17
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,2.041,200000003,97974891,SUCCESS,1800.37
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.484,200000004,57413258,SUCCESS,1533.51
ai-ml,clip_trace_3.champsimtrace.gz,3.218,200000002,62142977,SUCCESS,1555.81
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.925,200000005,103879719,SUCCESS,1870.41
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.245,200000003,89106137,SUCCESS,1904.19
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.253,200000003,88776903,SUCCESS,1937.62
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.918,200000000,104297829,SUCCESS,1942.54
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.423,200000000,140503225,SUCCESS,1979.39
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.922,200000005,104046926,SUCCESS,1994.11
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,2.498,200000002,80070355,SUCCESS,1594.61
ai-ml,whisper_trace_3.champsimtrace.gz,3.016,200000005,66321627,SUCCESS,1723.39
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,3.076,200000004,65015117,SUCCESS,1698.04
ai-ml,llama2.c-stories110M.2.champsimtrace.gz,2.152,200000000,92915670,SUCCESS,1902.82
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,1.019,200000000,196271584,SUCCESS,2114.42
ai-ml,clip_trace_1.champsimtrace.gz,3.54,200000000,56489778,SUCCESS,1287.80
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,2.474,200000007,80843228,SUCCESS,1529.18
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M.champsimtrace.xz,1.453,200000005,137675973,SUCCESS,2230.47
ai-ml,whisper_trace_2.champsimtrace.gz,3.016,200000006,66321066,SUCCESS,1582.49
ai-ml,llama2.c-stories110M.1.champsimtrace.gz,2.15,200000006,93006760,SUCCESS,2048.66
