Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,clip_trace_1.champsimtrace.gz,3.33,200000004,60052353,SUCCESS,1083.02
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.136,200000000,63779234,SUCCESS,1134.79
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,3.209,200000005,62319237,SUCCESS,1136.31
ai-ml,clip_trace_3.champsimtrace.gz,2.937,200000007,68090432,SUCCESS,1151.08
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,3.034,200000002,65922938,SUCCESS,1157.67
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.636,200000006,122255948,SUCCESS,1246.80
ai-ml,whisper_trace_1.champsimtrace.gz,2.772,200000001,72141609,SUCCESS,1272.13
ai-ml,whisper_trace_3.champsimtrace.gz,2.778,200000006,71986347,SUCCESS,1279.35
ai-ml,whisper_trace_2.champsimtrace.gz,2.783,200000001,71872104,SUCCESS,1283.60
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.767,200000006,72285055,SUCCESS,1348.40
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.203,200000002,90765197,SUCCESS,1367.95
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,2.433,200000007,82193883,SUCCESS,1394.78
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,2.105,200000003,95025188,SUCCESS,1409.43
gtraces_v2,arizona_0002.champsim.gz,1.856,200000007,107757454,SUCCESS,1420.25
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,2.086,200000003,95891703,SUCCESS,1437.51
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.412,200000003,82902515,SUCCESS,1526.92
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,2.436,200000001,82086536,SUCCESS,1612.08
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,2.435,200000004,82128784,SUCCESS,1629.55
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,1.37,200000003,145966530,SUCCESS,1665.45
gtraces_v2,arizona_0000.champsim.gz,1.417,200000006,141096973,SUCCESS,1709.65
SPEC17,654.roms_s-293B.champsimtrace.xz,1.769,200000003,113047068,SUCCESS,1722.45
gtraces_v2,arizona_0001.champsim.gz,1.518,200000001,131761577,SUCCESS,1724.43
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,1.023,200000000,195584393,SUCCESS,1747.33
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.2.champsimtrace.gz,2.377,200000000,84129943,SUCCESS,1781.41
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.591,200000005,125721427,SUCCESS,1848.90
SPEC17,607.cactuBSSN_s-2421B.champsimtrace.xz,1.857,200000007,107685063,SUCCESS,1841.38
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.593,200000007,125572989,SUCCESS,1859.99
gtraces_v2,charlie_0000.champsim.gz,1.072,200000000,186570851,SUCCESS,1852.43
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,1.586,200000000,126138503,SUCCESS,1881.33
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367.champsimtrace.gz,1.142,200000001,175144695,SUCCESS,1883.45
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.169,200000001,171052890,SUCCESS,1904.73
ai-ml,bark.cpp-bark-small.coarse_token_gen.5.champsimtrace.gz,1.515,200000000,131983053,SUCCESS,1905.01
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,1.236,200000005,161748291,SUCCESS,1914.19
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.1.champsimtrace.gz,2.123,200000003,94217722,SUCCESS,1915.08
SPEC17,602.gcc_s-734B.champsimtrace.xz,1.545,200000003,129439081,SUCCESS,1909.41
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248.champsimstrace.gz,0.915,200000000,218588421,SUCCESS,1922.80
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,1.238,200000000,161595985,SUCCESS,1922.52
