Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,2.48,200000002,80631713,SUCCESS,1466.67
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.168,200000002,92231104,SUCCESS,1480.26
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,2.398,200000003,83401529,SUCCESS,1517.51
ai-ml,clip_trace_3.champsimtrace.gz,2.082,200000002,96072395,SUCCESS,1558.33
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,1.744,200000003,114666967,SUCCESS,1658.43
ai-ml,whisper_trace_1.champsimtrace.gz,1.961,200000004,101995839,SUCCESS,1709.89
ai-ml,whisper_trace_3.champsimtrace.gz,1.994,200000005,100280880,SUCCESS,1711.56
ai-ml,whisper_trace_2.champsimtrace.gz,1.995,200000006,100238663,SUCCESS,1725.09
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.08,200000000,96175866,SUCCESS,1801.51
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.304,200000000,153414128,SUCCESS,1862.08
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,1.386,200000003,144260859,SUCCESS,1943.73
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,0.9429,200000000,212100601,SUCCESS,1958.64
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,1.729,200000006,115699977,SUCCESS,1958.61
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,1.372,200000003,145785677,SUCCESS,1979.93
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,2.002,200000001,99923523,SUCCESS,1993.62
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248.champsimstrace.gz,0.8233,200000003,242938763,SUCCESS,2247.17
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367.champsimtrace.gz,0.9367,200000001,213513118,SUCCESS,2352.71
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,1.635,200000003,122348156,SUCCESS,2368.56
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,1.634,200000003,122372175,SUCCESS,2370.43
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-117.champsimtrace.gz,0.6775,200000000,295211592,SUCCESS,2378.98
ai-ml,clip_trace_1.champsimtrace.gz,2.662,200000004,75119076,SUCCESS,1393.34
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.2.champsimtrace.gz,1.633,200000002,122452524,SUCCESS,2441.50
Graph/Ligra,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,0.7731,200000000,258702332,SUCCESS,2506.92
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M.champsimtrace.xz,0.8019,200000003,249418899,SUCCESS,2506.52
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,2.528,200000006,79102759,SUCCESS,1386.50
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80.champsimtrace.gz,0.8597,200000001,232647081,SUCCESS,2589.58
Graph/Ligra,ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,0.6616,200000003,302279722,SUCCESS,2610.88
Graph/GAP,bfs-14.trace.gz,0.5789,200000001,345478501,SUCCESS,2757.11
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,0.8711,200000007,229590787,SUCCESS,2766.73
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,0.8666,200000000,230796196,SUCCESS,2798.55
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.1.champsimtrace.gz,1.258,200000001,159017822,SUCCESS,2852.77
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,0.8715,200000007,229490382,SUCCESS,2862.18
Graph/GAP,bfs-10.trace.gz,0.5022,200000001,398251500,SUCCESS,3093.90
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,0.6925,200000003,288795054,SUCCESS,3164.97
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,0.6237,200000000,320650522,SUCCESS,3190.55
Graph/Ligra,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,0.6256,200000000,319689719,SUCCESS,3199.13
ai-ml,llama2.c-stories15M.1.champsimtrace.gz,0.6887,200000003,290383467,SUCCESS,3196.40
gtraces_v2,arizona_0002.champsim.gz,1.51,200000007,132469846,SUCCESS,1706.55
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,0.6931,200000000,288564817,SUCCESS,3211.63
gtraces_v2,arizona_0000.champsim.gz,1.359,200000000,147192158,SUCCESS,1992.00
Graph/Ligra,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M.champsimtrace.xz,0.7333,200000000,272731470,SUCCESS,3265.61
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-137.champsimtrace.gz,0.4689,200000004,426532427,SUCCESS,3333.81
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.1.champsimtrace.gz,1.421,200000005,140741003,SUCCESS,2882.66
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-360.champsimtrace.gz,0.4566,200000001,438060760,SUCCESS,3469.17
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,0.6596,200000004,303191824,SUCCESS,3544.88
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M.champsimtrace.xz,0.5774,200000002,346397590,SUCCESS,3562.99
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,0.6576,200000000,304151577,SUCCESS,3568.79
gtraces_v2,charlie_0001.champsim.gz,0.9048,200000006,221049815,SUCCESS,2258.24
ai-ml,llama2.c-stories110M.2.champsimtrace.gz,0.6215,200000000,321819129,SUCCESS,3747.56
ai-ml,llama2.c-stories110M.1.champsimtrace.gz,0.6215,200000000,321778239,SUCCESS,3787.72
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M.champsimtrace.xz,0.5335,200000007,374877185,SUCCESS,3809.03
ai-ml,llama2.c-stories110M.3.champsimtrace.gz,0.622,200000003,321519654,SUCCESS,3833.20
gtraces_v2,charlie_0000.champsim.gz,1.067,200000002,187355333,SUCCESS,1915.20
Graph/GAP,sssp-14.trace.gz,0.4863,200000000,411265216,SUCCESS,3914.09
Graph/GAP,sssp-10.trace.gz,0.4883,200000004,409565739,SUCCESS,3941.73
Graph/GAP,cc-5.trace.gz,0.4416,200000001,452907742,SUCCESS,3981.03
Graph/Ligra,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M.champsimtrace.xz,0.5074,200000003,394140609,SUCCESS,4006.07
ai-ml,bark.cpp-bark-small.coarse_token_gen.5.champsimtrace.gz,0.753,200000005,265616792,SUCCESS,3359.46
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M.champsimtrace.xz,0.4798,200000005,416882257,SUCCESS,4212.40
Graph/GAP,cc-14.trace.gz,0.3896,200000000,513394806,SUCCESS,4262.22
ai-ml,llama2.c-stories42M.3.champsimtrace.gz,0.6599,200000001,303097693,SUCCESS,3729.98
gtraces_v2,charlie_0002.champsim.gz,0.5905,200000007,338693020,SUCCESS,3194.91
gtraces_v2,arizona_0001.champsim.gz,1.303,200000001,153491008,SUCCESS,2092.72
gtraces_v2,merced_0000.champsim.gz,0.5835,200000001,342786498,SUCCESS,2960.24
gtraces_v2,yankee_0002.champsim.gz,0.5026,200000000,397915944,SUCCESS,3189.96
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M.champsimtrace.xz,0.4887,200000000,409258294,SUCCESS,4740.66
gtraces_v2,tango_0002.champsim.gz,0.4906,200000000,407624599,SUCCESS,3480.75
gtraces_v2,charlie_0003.champsim.gz,0.5473,200000003,365432689,SUCCESS,3458.37
gtraces_v2,tahoe_0000.champsim.gz,0.4733,200000001,422564660,SUCCESS,3530.97
Graph/GAP,cc-13.trace.gz,0.3477,200000002,575136726,SUCCESS,4855.79
gtraces_v2,merced_0004.champsim.gz,0.476,200000001,420155854,SUCCESS,3583.38
SPEC17,654.roms_s-293B.champsimtrace.xz,2.022,200000004,98905371,SUCCESS,1726.81
gtraces_v2,tango_0003.champsim.gz,0.4459,200000000,448499531,SUCCESS,3753.00
gtraces_v2,tango_0001.champsim.gz,0.5291,200000000,378011083,SUCCESS,3401.63
SPEC17,654.roms_s-294B.champsimtrace.xz,1.77,200000003,113013943,SUCCESS,1866.63
gtraces_v2,tahoe_0002.champsim.gz,0.591,200000001,338393003,SUCCESS,3157.97
gtraces_v2,yankee_0004.champsim.gz,0.3937,200000004,507993885,SUCCESS,3914.20
gtraces_v2,tango_0004.champsim.gz,0.487,200000000,410651989,SUCCESS,3577.07
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.059,200000005,188826003,SUCCESS,1929.82
gtraces_v2,charlie_0004.champsim.gz,0.7257,200000004,275578751,SUCCESS,2679.40
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,1.059,200000006,188930011,SUCCESS,2355.04
gtraces_v2,tahoe_0001.champsim.gz,0.3726,200000000,536825830,SUCCESS,4251.95
SPEC17,607.cactuBSSN_s-2421B.champsimtrace.xz,2.05,200000007,97547089,SUCCESS,2294.57
SPEC17,602.gcc_s-734B.champsimtrace.xz,1.58,200000001,126562995,SUCCESS,2046.00
SPEC17,621.wrf_s-6673B.champsimtrace.xz,1.217,200000005,164337482,SUCCESS,2159.13
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M.champsimtrace.xz,0.2926,200000001,683480330,SUCCESS,5684.08
gtraces_v2,yankee_0001.champsim.gz,0.382,200000000,523548661,SUCCESS,4000.05
gtraces_v2,merced_0003.champsim.gz,0.4029,200000005,496421808,SUCCESS,3988.31
SPEC17,602.gcc_s-1850B.champsimtrace.xz,0.894,200000000,223707587,SUCCESS,2252.59
gtraces_v2,sierra.a.6_0004.champsim.gz,0.3604,200000006,554967803,SUCCESS,4371.17
gtraces_v2,tahoe_0004.champsim.gz,0.488,200000003,409869175,SUCCESS,3348.59
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,0.8407,200000005,237890314,SUCCESS,3133.81
gtraces_v2,sierra.a.6_0002.champsim.gz,0.3426,200000004,583729402,SUCCESS,4499.15
gtraces_v2,tango_0000.champsim.gz,0.4683,200000001,427054369,SUCCESS,3552.28
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,0.9806,200000005,203960893,SUCCESS,2672.93
gtraces_v2,yankee_0000.champsim.gz,0.369,200000002,542000714,SUCCESS,4109.93
gtraces_v2,yankee_0003.champsim.gz,0.4066,200000002,491850330,SUCCESS,3810.18
gtraces_v2,merced_0002.champsim.gz,0.4319,200000006,463051123,SUCCESS,3741.04
gtraces_v2,merced_0001.champsim.gz,0.4145,200000001,482509632,SUCCESS,4006.37
gtraces_v2,sierra.a.4_0003.champsim.gz,0.2924,200000004,683966951,SUCCESS,5172.71
gtraces_v2,sierra.a.6_0001.champsim.gz,0.3237,200000003,617855724,SUCCESS,4824.21
gtraces_v2,sierra.a.3_0004.champsim.gz,0.347,200000001,576364213,SUCCESS,4539.92
gtraces_v2,sierra.a.3_0003.champsim.gz,0.3567,200000004,560708399,SUCCESS,4603.35
gtraces_v2,sierra.a.3_0001.champsim.gz,0.3865,200000002,517435200,SUCCESS,4117.89
