Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
Graph/GMS,gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852.champsimtrace.gz,2.245,200000002,89068388,SUCCESS,1430.39
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M.champsimtrace.xz,1.851,200000003,108037757,SUCCESS,1629.29
Graph/GMS,gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4.champsimtrace.gz,1.385,200000003,144447945,SUCCESS,1955.89
Graph/Ligra,ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,0.7537,200000002,265373488,SUCCESS,2449.33
Graph/GMS,gms.k_clique_star_list.soc-pokec-relationships.slice-1291.champsimtrace.gz,1.312,200000000,152437591,SUCCESS,1838.37
Graph/Ligra,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,0.7579,200000000,263886279,SUCCESS,2501.67
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248.champsimstrace.gz,0.8116,200000001,246439126,SUCCESS,2320.75
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-117.champsimtrace.gz,0.6832,200000000,292757842,SUCCESS,2394.55
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,0.8658,200000000,231006552,SUCCESS,2745.15
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236.champsimstrace.gz,0.9215,200000000,217028030,SUCCESS,2005.83
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M.champsimtrace.xz,0.7686,200000002,260227403,SUCCESS,2597.05
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,0.8685,200000007,230289651,SUCCESS,2801.93
Graph/GMS,gms.k_clique_count_set_based.soc-pokec-relationships.slice-4.champsimtrace.gz,1.371,200000003,145826035,SUCCESS,2012.93
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M.champsimtrace.xz,0.8692,200000007,230108971,SUCCESS,2840.14
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,2.524,200000003,79224562,SUCCESS,1483.51
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,2.495,200000004,80148697,SUCCESS,1494.16
ai-ml,clip_trace_3.champsimtrace.gz,2.096,200000001,95426507,SUCCESS,1615.79
ai-ml,clip_trace_1.champsimtrace.gz,2.671,200000003,74864832,SUCCESS,1409.72
ai-ml,bark.cpp-bark-small.coarse_token_gen.1.champsimtrace.gz,2.56,200000005,78113415,SUCCESS,1459.97
ai-ml,whisper_trace_3.champsimtrace.gz,1.978,200000001,101115816,SUCCESS,1800.50
Graph/Ligra,ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,0.6305,200000000,317215880,SUCCESS,3136.14
Graph/Ligra,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M.champsimtrace.xz,0.7396,200000000,270408690,SUCCESS,3268.99
ai-ml,whisper_trace_1.champsimtrace.gz,1.955,200000004,102291078,SUCCESS,1823.64
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,2.07,200000005,96612257,SUCCESS,1870.93
Graph/Ligra,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M.champsimtrace.xz,0.6286,200000004,318182444,SUCCESS,3195.82
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367.champsimtrace.gz,0.8762,200000003,228254193,SUCCESS,2679.18
ai-ml,whisper_trace_2.champsimtrace.gz,1.972,200000005,101441661,SUCCESS,1790.59
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,1.791,200000001,111687940,SUCCESS,1948.19
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80.champsimtrace.gz,0.7937,200000001,251992252,SUCCESS,2801.19
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,1.996,200000000,100204459,SUCCESS,2038.43
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M.champsimtrace.xz,0.5775,200000002,346323660,SUCCESS,3536.70
gtraces_v2,arizona_0002.champsim.gz,1.518,200000007,131717522,SUCCESS,1645.44
gtraces_v2,arizona_0000.champsim.gz,1.369,200000000,146040838,SUCCESS,1871.48
Graph/Ligra,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M.champsimtrace.xz,0.509,200000006,392891565,SUCCESS,3843.80
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-360.champsimtrace.gz,0.4602,200000001,434635852,SUCCESS,3368.37
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,1.593,200000006,125575751,SUCCESS,2409.39
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,1.595,200000002,125426337,SUCCESS,2404.51
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M.champsimtrace.xz,0.5334,200000007,374975859,SUCCESS,3688.98
