Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,llama2.c-stories110M.1.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.93
ai-ml,vit.cpp-large-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.92
ai-ml,rwkv_trace_1.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.94
ai-ml,whisper_trace_3.champsimtrace.gz,N/A,0,0,PARSE_FAIL,1.09
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.2.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.93
ai-ml,biogpt.cpp-ggml-model-tocilizumab.3.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.92
ai-ml,llama2.c-stories42M.1.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.93
ai-ml,vit.cpp-base-ggml-model-f16.gguf.armadillo.1.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.92
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.1.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.93
ai-ml,bark.cpp-bark-small.coarse_token_gen.2.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.93
ai-ml,biogpt.cpp-ggml-model-tocilizumab.1.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.92
ai-ml,llama2.c-stories42M.2.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.92
ai-ml,whisper_trace_1.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.92
ai-ml,stable-diffusion.cpp-v1-5-pruned-emaonly.2.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.92
ai-ml,bark.cpp-bark-small.coarse_token_gen.4.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.96
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.94
ai-ml,clip_trace_1.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.93
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.94
SPEC17,605.mcf_s-1644B.champsimtrace.xz,N/A,0,0,PARSE_FAIL,0.94
ai-ml,whisper_trace_2.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.93
ai-ml,llama2.c-stories15M.2.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.93
gtraces_v2,merced_0004.champsim.gz,N/A,0,0,PARSE_FAIL,0.95
ai-ml,llama2.c-stories110M.3.champsimtrace.gz,N/A,0,0,PARSE_FAIL,1.07
ai-ml,rwkv_trace_2.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.94
Graph/Ligra,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M.champsimtrace.xz,N/A,0,0,PARSE_FAIL,0.91
ai-ml,llama2.c-stories15M.3.champsimtrace.gz,N/A,0,0,PARSE_FAIL,0.94
