============================================================================================================================================================================================================================================================================================================
1. IPC PERFORMANCE (Base -> Exp)
============================================================================================================================================================================================================================================================================================================
Trace Name                                    |     Base |      Exp |  Speedup |     Diff%
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Graph_GAP_bc-0                                |    0.210 |    0.210 |    1.000 | +0.0%
Graph_GAP_bc-12                               |    0.190 |    0.190 |    1.000 | +0.0%
Graph_GAP_bfs-10                              |    0.640 |    0.730 |    1.141 | +14.1%
Graph_GAP_bfs-14                              |    0.710 |    0.780 |    1.099 | +9.9%
Graph_GAP_cc-13                               |    0.410 |    0.380 |    0.927 | -7.3%
Graph_GAP_cc-14                               |    0.470 |    0.430 |    0.915 | -8.5%
Graph_GAP_cc-5                                |    0.550 |    0.500 |    0.909 | -9.1%
Graph_GAP_sssp-10                             |    0.720 |    0.650 |    0.903 | -9.7%
Graph_GAP_sssp-14                             |    0.720 |    0.650 |    0.903 | -9.7%
Graph_GMS_gms.k_clique_count_set_based.soc-.. |    2.210 |    2.250 |    1.018 | +1.8%
Graph_GMS_gms.k_clique_list_danisch_edge_pa.. |    1.130 |    1.110 |    0.982 | -1.8%
Graph_GMS_gms.k_clique_list_danisch_edge_pa.. |    1.080 |    1.050 |    0.972 | -2.8%
Graph_GMS_gms.k_clique_list_danisch_node_pa.. |    1.040 |    1.030 |    0.990 | -1.0%
Graph_GMS_gms.k_clique_list_danisch_node_pa.. |    0.930 |    0.910 |    0.978 | -2.2%
Graph_GMS_gms.k_clique_list_danisch_serial... |    2.210 |    2.250 |    1.018 | +1.8%
Graph_GMS_gms.k_clique_star_list.soc-pokec-.. |    1.390 |    1.410 |    1.014 | +1.4%
Graph_GMS_gms.maximal_clique_enum_bron_kerb.. |    2.190 |    2.210 |    1.009 | +0.9%
Graph_GMS_gms.triangle_count.soc-pokec-rela.. |    0.770 |    0.770 |    1.000 | +0.0%
Graph_GMS_gms.triangle_count.soc-pokec-rela.. |    0.560 |    0.580 |    1.036 | +3.6%
Graph_GMS_gms.triangle_count.soc-pokec-rela.. |    0.550 |    0.570 |    1.036 | +3.6%
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_.. |    1.420 |    1.450 |    1.021 | +2.1%
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_.. |    1.920 |    1.970 |    1.026 | +2.6%
Graph_Ligra_ligra_BellmanFord.com-lj.ungrap.. |    1.330 |    1.400 |    1.053 | +5.3%
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.. |    1.530 |    1.850 |    1.209 | +20.9%
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.. |    1.070 |    1.030 |    0.963 | -3.7%
Graph_Ligra_ligra_Components-Shortcut.com-l.. |    1.920 |    1.960 |    1.021 | +2.1%
Graph_Ligra_ligra_Components-Shortcut.com-l.. |    0.450 |    0.420 |    0.933 | -6.7%
Graph_Ligra_ligra_Components.com-lj.ungraph.. |    1.460 |    1.540 |    1.055 | +5.5%
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6... |    1.470 |    1.540 |    1.048 | +4.8%
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6... |    1.870 |    2.020 |    1.080 | +8.0%
Graph_Ligra_ligra_PageRank.com-lj.ungraph.g.. |    1.140 |    1.180 |    1.035 | +3.5%
Graph_Ligra_ligra_PageRankDelta.com-lj.ungr.. |    1.910 |    1.950 |    1.021 | +2.1%
Graph_Ligra_ligra_PageRankDelta.com-lj.ungr.. |    1.070 |    1.060 |    0.991 | -0.9%
