================================================================================================================================================================
1. IPC PERFORMANCE (Base -> Exp)
================================================================================================================================================================
Trace Name                          |     Base |      Exp |  Speedup |     Diff%
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Graph_GAP_bc-0                      |    0.210 |    0.210 |    1.000 | +0.0%
Graph_GAP_bc-12                     |    0.190 |    0.190 |    1.000 | +0.0%
Graph_GAP_bfs-10                    |    0.730 |    0.640 |    0.877 | -12.3%
Graph_GAP_bfs-14                    |    0.780 |    0.700 |    0.897 | -10.3%
Graph_GAP_cc-13                     |    0.380 |    0.370 |    0.974 | -2.6%
Graph_GAP_cc-14                     |    0.430 |    0.420 |    0.977 | -2.3%
Graph_GAP_cc-5                      |    0.500 |    0.480 |    0.960 | -4.0%
Graph_GAP_sssp-10                   |    0.650 |    0.640 |    0.985 | -1.5%
Graph_GAP_sssp-14                   |    0.650 |    0.640 |    0.985 | -1.5%
Graph_GMS_gms.k_clique_count_set_.. |    2.250 |    2.260 |    1.004 | +0.4%
Graph_GMS_gms.k_clique_list_danis.. |    1.110 |    1.110 |    1.000 | +0.0%
Graph_GMS_gms.k_clique_list_danis.. |    1.050 |    1.050 |    1.000 | +0.0%
Graph_GMS_gms.k_clique_list_danis.. |    1.030 |    1.030 |    1.000 | +0.0%
Graph_GMS_gms.k_clique_list_danis.. |    0.910 |    0.910 |    1.000 | +0.0%
Graph_GMS_gms.k_clique_list_danis.. |    2.250 |    2.240 |    0.996 | -0.4%
Graph_GMS_gms.k_clique_star_list... |    1.410 |    1.400 |    0.993 | -0.7%
Graph_GMS_gms.maximal_clique_enum.. |    2.210 |    2.210 |    1.000 | +0.0%
Graph_GMS_gms.triangle_count.soc-.. |    0.770 |    0.760 |    0.987 | -1.3%
Graph_GMS_gms.triangle_count.soc-.. |    0.580 |    0.560 |    0.966 | -3.4%
Graph_GMS_gms.triangle_count.soc-.. |    0.570 |    0.560 |    0.982 | -1.8%
Graph_Ligra_ligra_BFSCC.com-lj.un.. |    1.450 |    1.450 |    1.000 | +0.0%
Graph_Ligra_ligra_BFSCC.com-lj.un.. |    1.970 |    2.010 |    1.020 | +2.0%
Graph_Ligra_ligra_BellmanFord.com.. |    1.400 |    1.350 |    0.964 | -3.6%
Graph_Ligra_ligra_CF.com-lj.ungra.. |    1.850 |    1.820 |    0.984 | -1.6%
Graph_Ligra_ligra_CF.com-lj.ungra.. |    1.030 |    1.030 |    1.000 | +0.0%
Graph_Ligra_ligra_Components-Shor.. |    1.960 |    2.000 |    1.020 | +2.0%
Graph_Ligra_ligra_Components-Shor.. |    0.420 |    0.420 |    1.000 | +0.0%
Graph_Ligra_ligra_Components.com-.. |    1.540 |    1.480 |    0.961 | -3.9%
Graph_Ligra_ligra_MIS.com-lj.ungr.. |    1.540 |    1.480 |    0.961 | -3.9%
Graph_Ligra_ligra_MIS.com-lj.ungr.. |    2.020 |    1.960 |    0.970 | -3.0%
Graph_Ligra_ligra_PageRank.com-lj.. |    1.180 |    1.180 |    1.000 | +0.0%
Graph_Ligra_ligra_PageRankDelta.c.. |    1.950 |    1.990 |    1.021 | +2.1%
Graph_Ligra_ligra_PageRankDelta.c.. |    1.060 |    1.060 |    1.000 | +0.0%
Graph_Ligra_ligra_PageRankDelta.c.. |    1.070 |    1.050 |    0.981 | -1.9%
Graph_Ligra_ligra_Radii.com-lj.un.. |    0.980 |    0.920 |    0.939 | -6.1%
Graph_Ligra_ligra_Radii.com-lj.un.. |    0.290 |    0.290 |    1.000 | +0.0%
Graph_Ligra_ligra_Triangle.com-lj.. |    0.770 |    0.700 |    0.909 | -9.1%
