============================================================================================================================================================================================================================================================================================================
1. IPC PERFORMANCE (Base -> Exp)
============================================================================================================================================================================================================================================================================================================
Trace Name                                    |     Base |      Exp |  Speedup |     Diff%
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Graph_GAP_bc-0                                |    0.200 |    0.210 |    1.050 | +5.0%
Graph_GAP_bc-12                               |    0.190 |    0.190 |    1.000 | +0.0%
Graph_GAP_bfs-10                              |    0.260 |    0.730 |    2.808 | +180.8%
Graph_GAP_bfs-14                              |    0.280 |    0.780 |    2.786 | +178.6%
Graph_GAP_cc-13                               |    0.350 |    0.380 |    1.086 | +8.6%
Graph_GAP_cc-14                               |    0.390 |    0.430 |    1.103 | +10.3%
Graph_GAP_cc-5                                |    0.440 |    0.500 |    1.136 | +13.6%
Graph_GAP_sssp-10                             |    0.540 |    0.650 |    1.204 | +20.4%
Graph_GAP_sssp-14                             |    0.530 |    0.650 |    1.226 | +22.6%
Graph_GMS_gms.k_clique_count_set_based.soc-.. |    1.990 |    2.250 |    1.131 | +13.1%
Graph_GMS_gms.k_clique_list_danisch_edge_pa.. |    1.130 |    1.110 |    0.982 | -1.8%
Graph_GMS_gms.k_clique_list_danisch_edge_pa.. |    1.100 |    1.050 |    0.955 | -4.5%
Graph_GMS_gms.k_clique_list_danisch_node_pa.. |    1.010 |    1.030 |    1.020 | +2.0%
Graph_GMS_gms.k_clique_list_danisch_node_pa.. |    0.900 |    0.910 |    1.011 | +1.1%
Graph_GMS_gms.k_clique_list_danisch_serial... |    2.000 |    2.250 |    1.125 | +12.5%
Graph_GMS_gms.k_clique_star_list.soc-pokec-.. |    1.150 |    1.410 |    1.226 | +22.6%
Graph_GMS_gms.maximal_clique_enum_bron_kerb.. |    1.860 |    2.210 |    1.188 | +18.8%
Graph_GMS_gms.triangle_count.soc-pokec-rela.. |    0.490 |    0.770 |    1.571 | +57.1%
Graph_GMS_gms.triangle_count.soc-pokec-rela.. |    0.350 |    0.580 |    1.657 | +65.7%
Graph_GMS_gms.triangle_count.soc-pokec-rela.. |    0.340 |    0.570 |    1.676 | +67.6%
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_.. |    0.710 |    1.450 |    2.042 | +104.2%
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_.. |    1.290 |    1.970 |    1.527 | +52.7%
Graph_Ligra_ligra_BellmanFord.com-lj.ungrap.. |    0.500 |    1.400 |    2.800 | +180.0%
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.. |    0.530 |    1.850 |    3.491 | +249.1%
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.. |    0.910 |    1.030 |    1.132 | +13.2%
Graph_Ligra_ligra_Components-Shortcut.com-l.. |    1.290 |    1.960 |    1.519 | +51.9%
Graph_Ligra_ligra_Components-Shortcut.com-l.. |    0.380 |    0.420 |    1.105 | +10.5%
Graph_Ligra_ligra_Components.com-lj.ungraph.. |    0.490 |    1.540 |    3.143 | +214.3%
