Filename,L1I_LOAD_Acc,L1I_LOAD_Miss,L1I_PF_Acc,L1I_PF_Miss,L1D_LOAD_Acc,L1D_LOAD_Miss,L1D_PF_Acc,L1D_PF_Miss,L2C_LOAD_Acc,L2C_LOAD_Miss,L2C_PF_Acc,L2C_PF_Miss,LLC_LOAD_Acc,LLC_LOAD_Miss,LLC_PF_Acc,LLC_PF_Miss,IPC
Graph_GAP_bc-0,76600,0,0,0,50836211,17074885,6393073,5950391,16611429,9852360,41677708,26414562,9580811,5509678,23293465,15106519,0.21
Graph_GAP_bc-12,459306,0,0,0,53461455,16568748,7549163,7013104,16154352,10169419,46503733,31323098,9782843,5671533,26904136,17937058,0.19
Graph_GAP_bfs-10,8994755,16,0,0,41553262,3351714,4657538,3718800,2763632,507638,25193869,5511471,450981,427863,4563643,4245323,0.64
Graph_GAP_bfs-14,9927351,16,0,0,39998426,2635266,4243953,3499307,2207866,474964,24455610,7461103,417910,359763,4479571,4018109,0.71
Graph_GAP_cc-13,1870281,0,0,0,52929085,14838686,4645650,3416777,14341207,4811045,28439384,10424860,4766840,1415862,9387784,3664472,0.41
Graph_GAP_cc-14,1948323,0,0,0,51498210,14439870,4665871,3234373,13972649,4713186,28119799,10176754,4667611,1372369,9083090,3567460,0.47
Graph_GAP_cc-5,2299560,0,0,0,50308264,14222061,4640702,3069993,13712076,4567626,27454287,9608262,4527709,1336887,8507443,3354897,0.55
Graph_GAP_sssp-10,17658168,0,0,0,48957787,9793054,4142115,3723169,9086549,3839601,26361932,11696056,3694059,1196031,9625989,4214272,0.72
Graph_GAP_sssp-14,17602781,0,0,0,49352280,9799967,4363717,3820531,9049884,3875336,26829436,12163360,3723187,1198076,9928360,4322367,0.72
Graph_GMS_gms.k_clique_count_set_based.soc-pokec-relationships.slice-4,18844499,139,0,0,24636501,935565,428439,384547,221676,132541,2137499,1760522,36257,36257,488837,488837,2.21
Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367,19509950,0,0,0,39077361,4438018,1374073,555487,3639159,954976,4675428,1236183,941071,605857,1134375,780739,1.13
Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80,17149037,0,0,0,37884439,4830800,1843038,708395,3807601,1200842,5442613,1668635,1176374,774366,1490986,1057848,1.08
