Filename,L1I_LOAD_Acc,L1I_LOAD_MR,L1I_PF_Acc,L1I_PF_MR,L1D_LOAD_Acc,L1D_LOAD_MR,L1D_PF_Acc,L1D_PF_MR,L2C_LOAD_Acc,L2C_LOAD_MR,L2C_PF_Acc,L2C_PF_MR,LLC_LOAD_Acc,LLC_LOAD_MR,LLC_PF_Acc,LLC_PF_MR,IPC
Graph_GAP_bc-0,75759,0.00,0,0.00,50091003,32.91,38370317,50.64,16085837,61.59,71758300,50.70,9615307,57.87,67782980,60.56,0.20
Graph_GAP_bc-12,458573,0.00,0,0.00,53056425,30.25,49778919,35.93,15698412,64.80,72978563,56.19,9744691,58.74,74669246,62.33,0.18
Graph_GAP_bfs-10,8978600,0.00,0,0.00,41289588,7.62,33335565,24.47,2782907,16.18,33559921,17.13,409471,63.28,10451122,72.09,0.75
Graph_GAP_bfs-14,9910795,0.00,0,0.00,39788643,6.01,34863540,21.11,2233516,19.84,28245014,20.52,403463,60.59,9772339,69.55,0.80
Graph_GAP_cc-13,1933773,0.00,0,0.00,49032155,29.07,44320201,32.28,14088269,34.43,52019762,26.70,4794496,34.53,28444386,36.41,0.38
Graph_GAP_cc-14,2044491,0.00,0,0.00,47120542,29.47,40528051,31.91,13726022,34.81,48318042,27.45,4722194,34.58,27259975,36.56,0.43
Graph_GAP_cc-5,2407618,0.00,0,0.00,45327079,30.28,37651840,32.76,13551416,34.25,46814448,26.69,4593636,34.83,25794816,36.83,0.50
Graph_GAP_sssp-10,17645376,0.00,0,0.00,47166852,20.40,29435575,26.88,9039118,43.95,35857754,40.31,3811866,37.10,26564685,40.73,0.66
Graph_GAP_sssp-14,17595532,0.00,0,0.00,46776465,20.38,30728094,27.12,8997272,44.51,37474067,41.06,3829858,36.63,27969837,40.26,0.66
Graph_GMS_gms.k_clique_count_set_based.soc-pokec-relationships.slice-4,18965496,0.00,0,0.00,24174447,4.80,14734742,1.82,417947,26.91,1906268,56.91,32335,91.81,999051,80.59,2.24
Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367,19544495,0.00,0,0.00,38769778,12.04,17963661,15.50,3719001,26.41,8064983,18.83,967549,62.29,3148263,62.43,1.08
Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80,17193506,0.00,0,0.00,37609682,13.48,14519035,20.89,3955072,31.15,9175482,21.21,1206358,65.67,3909678,66.39,1.04
Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236,1637346,0.00,0,0.00,45081036,4.44,21001247,4.52,1564135,39.51,3186974,28.79,608364,53.53,1952535,55.90,1.01
Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248,1523905,0.00,0,0.00,45140853,6.64,20928106,6.52,2258289,43.67,4667365,30.90,967879,49.52,3039860,54.02,0.90
Graph_GMS_gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4,18943323,0.00,0,0.00,24177571,4.97,14737840,1.86,423973,37.05,2613836,54.99,51681,80.49,979448,76.80,2.24
Graph_GMS_gms.k_clique_star_list.soc-pokec-relationships.slice-1291,4998932,0.00,0,0.00,31196930,1.69,17197376,3.73,373537,36.39,3006791,37.39,124559,89.65,1848493,81.64,1.38
Graph_GMS_gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852,44328075,0.00,0,0.00,44395323,0.04,44372762,9.28,421,47.03,8531488,15.01,188,61.70,2330712,26.14,2.25
Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-117,55704,0.00,0,0.00,34328295,4.68,26778839,6.92,1301803,34.38,11277332,38.45,410948,95.50,6523164,83.07,0.75
Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-137,18664,0.00,0,0.00,38180095,6.40,27157901,11.23,1930458,44.29,16507529,45.27,776809,96.17,10466627,84.98,0.57
Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-360,76669,0.01,0,0.00,38485042,6.39,27389054,11.94,1937197,52.31,15913717,46.75,941696,95.84,10570294,85.52,0.56
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M,9960674,0.00,0,0.00,13017339,9.40,7726941,41.72,347331,5.76,8927867,31.40,6549,88.24,2999320,64.36,1.47
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M,22479158,0.00,0,0.00,17460271,19.55,2915532,40.67,2204774,13.14,9588183,38.85,89223,52.35,3577879,48.10,1.93
Graph_Ligra_ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M,15055767,0.00,0,0.00,15527950,7.65,12679977,43.78,333809,9.55,16196142,33.04,9464,97.80,5344163,65.92,1.47
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M,21153805,0.00,0,0.00,18537829,10.42,10314534,63.24,399228,7.04,16721941,42.64,11972,77.62,6317395,70.83,1.82
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M,2694993,0.00,0,0.00,28660928,17.98,18740930,29.57,1426400,76.58,10834660,53.96,1042683,94.67,7065527,89.90,1.01
Graph_Ligra_ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M,26966778,0.00,0,0.00,17362504,19.62,2895948,40.62,2208234,13.05,9880952,38.93,88821,52.60,3586524,48.23,1.93
Graph_Ligra_ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M,4111899,0.00,0,0.00,49708910,27.92,27864510,40.16,13615028,46.48,39619337,29.54,6310627,57.29,25508406,57.06,0.42
Graph_Ligra_ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M,10188904,0.00,0,0.00,20370730,8.87,13135305,34.26,793685,9.32,14202698,31.08,32259,74.07,4761041,66.33,1.63
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M,13410590,0.00,0,0.00,20368178,8.92,13123845,34.19,791809,9.63,14289313,31.08,31672,74.91,4760826,66.63,1.63
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M,15764125,0.00,0,0.00,38409276,13.26,16939538,28.55,4938786,0.12,25446118,6.02,6035,38.31,2766350,59.71,2.15
Graph_Ligra_ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M,18319477,0.00,0,0.00,38738546,44.41,15925608,49.25,17054376,16.40,34656613,14.10,2779227,50.04,10969348,50.28,1.17
Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M,29108689,0.00,0,0.00,17333047,19.82,2944633,41.81,2215883,16.82,10966177,40.31,125196,39.25,3595832,48.06,1.92
Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M,30201188,0.00,0,0.00,26068986,20.62,10240113,36.31,4616769,24.78,20055183,35.26,871724,64.04,8190815,67.15,1.02
Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M,4525541,0.00,0,0.00,32599622,5.11,31503790,12.09,1105207,45.27,9451289,45.38,215614,74.30,3547571,71.17,1.08
Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M,6396859,0.00,0,0.00,42711880,22.97,22293517,39.22,9507696,5.59,37452707,10.71,528094,46.73,7304311,57.06,1.01
Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M,14696545,0.00,0,0.00,37780703,20.21,28633725,37.42,6061241,83.22,28029821,61.38,4825084,94.90,29939913,90.51,0.27
Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M,3490365,0.00,0,0.00,43551285,11.59,27685332,28.58,4886322,21.67,24298745,18.81,1055387,32.79,10237333,43.07,0.88
SPEC17_602.gcc_s-1850B,12028252,0.00,0,0.00,34138608,3.69,30373766,35.42,768700,3.18,25799081,35.86,22829,61.59,7087405,68.93,1.52
SPEC17_602.gcc_s-734B,37407487,0.00,0,0.00,28748040,2.02,27467384,28.08,348791,10.83,23039900,19.79,33057,79.35,4045504,70.06,2.21
