Summary for 1C.fullBW.bertiMcmc_pythia_sms_default
======================================================================================================================================================
Filename                                                                                   L1I_LOAD_Acc  L1I_LOAD_Miss  L1I_PF_Acc  L1I_PF_Miss  L1D_LOAD_Acc  L1D_LOAD_Miss  L1D_PF_Acc  L1D_PF_Miss  L2C_LOAD_Acc  L2C_LOAD_Miss  L2C_PF_Acc  L2C_PF_Miss  LLC_LOAD_Acc  LLC_LOAD_Miss  LLC_PF_Acc  LLC_PF_Miss  IPC
                                                                           Graph_GAP_bc-0    75759             0       0           0            50091003      16483671       38370317    19432227     16085837       9908013       71758300    36383544     9615307       5564423        67782980    41050797     0.20
                                                                          Graph_GAP_bc-12   458573             0       0           0            53056425      16046974       49778919    17886450     15698412      10173040       72978563    41007006     9744691       5724262        74669246    46544228     0.18
                                                                         Graph_GAP_bfs-10  8978600            16       0           0            41289588       3148288       33335565     8156821      2782907        450287       33559921     5748962      409471        259131        10451122     7533817     0.75
                                                                         Graph_GAP_bfs-14  9910795            16       0           0            39788643       2390644       34863540     7358236      2233516        443221       28245014     5795498      403463        244441         9772339     6796571     0.80
                                                                          Graph_GAP_cc-13  1933773             0       0           0            49032155      14254616       44320201    14306113     14088269       4851207       52019762    13889251     4794496       1655459        28444386    10357833     0.38
                                                                          Graph_GAP_cc-14  2044491             0       0           0            47120542      13888462       40528051    12934072     13726022       4778251       48318042    13263227     4722194       1633158        27259975     9964970     0.43
                                                                           Graph_GAP_cc-5  2407618             0       0           0            45327079      13724997       37651840    12335242     13551416       4642028       46814448    12495244     4593636       1600058        25794816     9500208     0.50
                                                                        Graph_GAP_sssp-10 17645376             0       0           0            47166852       9620820       29435575     7913577      9039118       3973065       35857754    14453707     3811866       1414130        26564685    10819654     0.66
                                                                        Graph_GAP_sssp-14 17595532             0       0           0            46776465       9534398       30728094     8333809      8997272       4004269       37474067    15385429     3829858       1403006        27969837    11259834     0.66
                   Graph_GMS_gms.k_clique_count_set_based.soc-pokec-relationships.slice-4 18965496           139       0           0            24174447       1160539       14734742      268693       417947        112460        1906268     1084835       32335         29687          999051      805114     2.24
      Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367 19544495             0       0           0            38769778       4668546       17963661     2785224      3719001        982356        8064983     1518359      967549        602675         3148263     1965393     1.08
       Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80 17193506             0       0           0            37609682       5070983       14519035     3032313      3955072       1231951        9175482     1946061     1206358        792172         3909678     2595534     1.04
      Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236  1637346             0       0           0            45081036       2003692       21001247      950257      1564135        618053        3186974      917564      608364        325663         1952535     1091536     1.01
      Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248  1523905             0       0           0            45140853       2999285       20928106     1363502      2258289        986142        4667365     1442378      967879        479254         3039860     1642136     0.90
               Graph_GMS_gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4 18943323           142       0           0            24177571       1201257       14737840      273625       423973        157062        2613836     1437458       51681         41598          979448      752237     2.24
                      Graph_GMS_gms.k_clique_star_list.soc-pokec-relationships.slice-1291  4998932            18       0           0            31196930        527471       17197376      641234       373537        135944        3006791     1124155      124559        111666         1848493     1509093     1.38
       Graph_GMS_gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852 44328075             0       0           0            44395323         16534       44372762     4116639          421           198        8531488     1280752         188           116         2330712      609256     2.25
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-117    55704             0       0           0            34328295       1606495       26778839     1854228      1301803        447507       11277332     4336304      410948        392471         6523164     5418936     0.75
