Filename,L1I_LOAD_Acc,L1I_LOAD_Miss,L1I_PF_Acc,L1I_PF_Miss,L1D_LOAD_Acc,L1D_LOAD_Miss,L1D_PF_Acc,L1D_PF_Miss,L2C_LOAD_Acc,L2C_LOAD_Miss,L2C_PF_Acc,L2C_PF_Miss,LLC_LOAD_Acc,LLC_LOAD_Miss,LLC_PF_Acc,LLC_PF_Miss,IPC
Graph_GAP_bc-0,75427,0,0,0,50558142,17072282,6343317,5901279,16612267,9822793,41849207,26054359,9571001,5557146,50388137,30622894,0.21
Graph_GAP_bc-12,458872,0,0,0,53186910,16570746,7485547,6951639,16156531,10127014,46685686,30818517,9771714,5765157,57572476,36263753,0.19
Graph_GAP_bfs-10,8996313,16,0,0,41553496,3230082,4627950,3719923,2734486,480672,25062508,5025332,447653,308648,9311947,6555238,0.71
Graph_GAP_bfs-14,9935606,16,0,0,40000416,2532350,4241814,3506515,2189056,437889,24984657,5690607,402313,271142,9195687,6313986,0.79
Graph_GAP_cc-13,1962017,0,0,0,53023425,14804883,4650898,3423936,14340091,4813884,28487518,10405167,4766486,1745732,22255014,8614040,0.38
Graph_GAP_cc-14,2064386,0,0,0,51618905,14402168,4674101,3241771,13965537,4714257,28196579,10123470,4667350,1713108,21592210,8405943,0.43
Graph_GAP_cc-5,2444612,0,0,0,50449415,14187803,4646493,3079403,13710610,4569037,27542346,9523647,4529226,1681289,20429422,8021904,0.50
Graph_GAP_sssp-10,17638594,0,0,0,49021914,9692341,4172591,3750596,9074615,3829038,26874204,11581172,3694270,1458764,21892897,9385421,0.66
Graph_GAP_sssp-14,17583198,0,0,0,49436084,9666116,4371910,3837841,9038769,3862377,27345237,11995554,3719648,1452954,22596569,9613300,0.66
Graph_GMS_gms.k_clique_count_set_based.soc-pokec-relationships.slice-4,18923386,139,0,0,24429105,1022149,309854,186318,381213,115741,1940789,1099111,35315,33289,996145,798953,2.25
Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367,19508087,0,0,0,39068378,4421351,1370826,555872,3637785,952806,4629589,1206368,939827,594614,2577693,1623741,1.11
Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80,17143714,0,0,0,37870638,4794895,1851085,711713,3804725,1197201,5410725,1633024,1175278,779295,3372522,2210788,1.05
Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236,1634415,0,0,0,45556096,1880629,275451,193471,1526574,598918,1959344,830446,589056,327089,1783147,1000501,1.03
Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248,1522924,0,0,0,45598946,2808434,350927,272330,2199390,941986,2784081,1287087,924632,471276,2740603,1441533,0.91
Graph_GMS_gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4,18913483,142,0,0,24435019,1033404,309066,186861,381566,158315,2552858,1477851,56192,45548,975256,732887,2.25
Graph_GMS_gms.k_clique_star_list.soc-pokec-relationships.slice-1291,4981661,18,0,0,31545295,378153,586807,321943,252942,126605,2248022,868594,122990,112933,1258138,1004336,1.41
Graph_GMS_gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852,44337566,0,0,0,44441339,380213,1367203,1367128,22040,18702,8508354,1243320,18680,4226,2312946,611751,2.21
Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-117,55721,0,0,0,34335186,918474,1423637,1262141,653589,411254,7960695,3320718,402362,393953,4513169,3644735,0.77
Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-137,18765,0,0,0,38253141,1803725,2436018,1922320,1304697,799863,12551257,5868243,780474,758873,7586242,6184130,0.58
Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-360,83678,7,0,0,38631881,2016835,2520427,1941833,1495391,966402,12791294,6068053,947280,919942,8018946,6588013,0.57
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M,7450369,9,0,0,9528210,860062,1474113,1355077,224201,44069,8850370,3080864,38352,38304,2967117,1928309,1.45
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M,21775031,0,0,0,15424934,2960849,1622246,952275,1969061,323449,10658780,4650325,124285,52160,3525323,1710507,1.96
Graph_Ligra_ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M,14923145,0,0,0,15386513,1125377,2620695,2494707,300948,96807,15964539,5024054,77120,76886,5276306,3321721,1.40
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M,21153805,0,0,0,21021577,1764403,3191276,3165973,141883,106306,17596164,7654359,104757,104747,6225764,4347287,1.85
