Summary for 1C.fullBW.berti_pythia_sms_default
======================================================================================================================================================
Filename                                                                                   L1D_LOAD_Access  L1D_LOAD_MissRate(%)  L1D_PREFETCH_Access  L1D_PREFETCH_MissRate(%)  L2C_LOAD_Access  L2C_LOAD_MissRate(%)  L2C_PREFETCH_Access  L2C_PREFETCH_MissRate(%)  LLC_LOAD_Access  LLC_LOAD_MissRate(%)  LLC_PREFETCH_Access  LLC_PREFETCH_MissRate(%)  IPC
                                                                           Graph_GAP_bc-0 50562170         33.75                  6337266              93.06                    16613609         59.02                  42270182            61.74                     9553597          58.29                 50426726             60.90                     0.21
                                                                          Graph_GAP_bc-12 53187156         31.17                  7491594              92.86                    16156146         62.80                  46076957            66.75                     9794915          58.81                 57498012             62.88                     0.19
                                                                         Graph_GAP_bfs-10 41550579          7.72                  4643542              80.28                     2732106         16.31                  24340629            21.93                      418408          69.58                  9830530             69.79                     0.73
                                                                         Graph_GAP_bfs-14 40001173          6.35                  4236835              82.72                     2190519         20.22                  25979349            21.76                      405771          67.44                  9071302             69.01                     0.78
                                                                          Graph_GAP_cc-13 53006228         27.85                  4646664              73.68                    14338667         33.42                  29333360            35.59                     4744574          36.74                 22244528             38.75                     0.38
                                                                          Graph_GAP_cc-14 51645798         28.00                  4670947              69.39                    13969548         33.90                  27393657            36.85                     4689335          36.60                 21614532             38.94                     0.43
                                                                           Graph_GAP_cc-5 50477348         28.23                  4657189              66.10                    13711309         33.48                  26806287            35.37                     4550709          36.94                 20428469             39.23                     0.50
                                                                        Graph_GAP_sssp-10 49026616         19.77                  4174272              89.87                     9074977         42.22                  26631373            43.04                     3702015          39.85                 22003041             43.09                     0.65
                                                                        Graph_GAP_sssp-14 49437706         19.56                  4376086              87.76                     9038733         42.77                  27276667            43.96                     3725019          39.28                 22537230             42.78                     0.65
                   Graph_GMS_gms.k_clique_count_set_based.soc-pokec-relationships.slice-4 24403281          4.17                   304137              60.61                      382995         36.24                   2065158            53.85                       53980          82.27                   977276             74.34                     2.25
      Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367 39070287         11.32                  1372300              40.52                     3638035         26.21                   4680528            25.76                      940471          63.29                  2574590             62.99                     1.11
       Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80 37867276         12.66                  1845807              38.38                     3805311         31.47                   5411418            30.13                     1175791          66.09                  3366703             65.40                     1.05
      Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236 45555725          4.13                   276125              70.12                     1526783         39.23                   1948753            42.38                      589683          55.05                  1780719             55.81                     1.03
      Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248 45599068          6.16                   350565              77.59                     2199772         42.80                   2767734            46.42                      923876          50.79                  2736292             52.51                     0.91
               Graph_GMS_gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4 24435953          4.23                   308680              60.32                      382158         41.65                   2552154            57.88                       56280          80.56                   975109             75.04                     2.25
                      Graph_GMS_gms.k_clique_star_list.soc-pokec-relationships.slice-1291 31545475          1.20                   585033              55.00                      252719         50.08                   2250302            38.76                      122846          91.86                  1260357             79.77                     1.41
       Graph_GMS_gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852 44441330          0.86                  1367200             100.00                       22036         84.94                   8508337            14.61                       18696          22.62                  2312675             26.41                     2.21
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-117 34335265          2.68                  1418670              88.90                      654319         62.85                   7958877            41.70                      402494          97.87                  4514049             80.77                     0.77
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-137 38252738          4.71                  2438727              78.86                     1304829         61.26                  12568626            46.81                      779838          97.28                  7598884             81.57                     0.58
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-360 38631135          5.22                  2524529              76.92                     1495331         64.70                  12739579            47.25                      948164          97.09                  7967287             82.08                     0.57
              Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M  9534596          9.06                  1474402              91.88                      224800         19.60                   8846110            34.76                       38393          99.86                  2967065             64.95                     1.45
