Filename,L1I_LOAD_Acc,L1I_LOAD_Miss,L1I_PF_Acc,L1I_PF_Miss,L1D_LOAD_Acc,L1D_LOAD_Miss,L1D_PF_Acc,L1D_PF_Miss,L2C_LOAD_Acc,L2C_LOAD_Miss,L2C_PF_Acc,L2C_PF_Miss,LLC_LOAD_Acc,LLC_LOAD_Miss,LLC_PF_Acc,LLC_PF_Miss,IPC
Graph_GAP_bc-0,75322,0,0,0,50564336,17063330,6343575,5902787,16612700,9805518,42276773,26096072,9553856,5573979,50429697,30720911,0.21
Graph_GAP_bc-12,458990,0,0,0,53188270,16572615,7488009,6953211,16156392,10135279,46422565,30805119,9779093,5762053,57519861,36226816,0.19
Graph_GAP_bfs-10,8996110,16,0,0,41547767,3229720,4638459,3718598,2732206,473627,26666099,5275081,441682,302744,9442560,6703593,0.72
Graph_GAP_bfs-14,9934522,16,0,0,40000410,2531815,4234304,3504676,2191679,443236,21855786,5614183,407742,272949,9159990,6327380,0.79
Graph_GAP_cc-13,1957741,0,0,0,53020985,14804255,4642144,3421788,14339164,4813676,28531263,10398644,4766400,1736752,22232109,8597647,0.38
Graph_GAP_cc-14,2064677,0,0,0,51618953,14404060,4670830,3242793,13966236,4711734,28198569,10120461,4664712,1712734,21601814,8421239,0.43
Graph_GAP_cc-5,2438795,0,0,0,50449279,14186360,4650128,3080181,13709433,4568116,27542765,9520595,4528770,1682443,20414445,8027099,0.50
Graph_GAP_sssp-10,17635530,0,0,0,49020468,9693214,4174028,3750124,9076483,3826720,26051814,11194174,3695939,1475655,21995771,9516746,0.65
Graph_GAP_sssp-14,17581485,0,0,0,49436408,9661002,4376375,3838986,9038981,3863624,27238897,11935313,3721210,1472021,22556524,9670261,0.65
Graph_GMS_gms.k_clique_count_set_based.soc-pokec-relationships.slice-4,18908361,139,0,0,24440939,1028788,312089,190932,378197,157686,2556014,1476854,56407,45899,975154,732484,2.25
Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367,19508866,0,0,0,39069294,4420793,1368431,555577,3638001,953833,4659841,1208182,940789,597319,2576726,1625945,1.11
Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80,17139675,0,0,0,37869140,4793118,1840393,709112,3805269,1197697,5418018,1631758,1175751,778816,3374094,2211468,1.05
Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236,1634654,0,0,0,45556190,1883511,276905,195047,1526829,598648,1953235,826770,589360,324769,1780695,993497,1.03
Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248,1522520,0,0,0,45600297,2809444,350277,271729,2199485,941216,2780891,1283198,923847,470110,2733798,1435983,0.91
Graph_GMS_gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4,18912488,142,0,0,24431548,1030204,308759,186678,381872,159085,2551373,1478017,56336,45708,974924,732320,2.25
Graph_GMS_gms.k_clique_star_list.soc-pokec-relationships.slice-1291,4981669,18,0,0,31545656,378305,583282,322107,252504,126671,2245068,869391,123048,112948,1258319,1004113,1.41
Graph_GMS_gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852,44337534,0,0,0,44441334,380922,1367223,1367139,22041,18686,8508441,1241605,18667,4208,2312992,610662,2.21
Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-117,55789,0,0,0,34335008,919294,1423331,1261845,654525,411474,7961539,3321603,402449,393946,4515654,3647617,0.77
Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-137,18545,0,0,0,38253086,1803234,2444137,1922164,1304961,800032,12550945,5867011,780435,758779,7588830,6186140,0.58
Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-360,83645,7,0,0,38631992,2015191,2523751,1941855,1494708,965969,12788226,6069816,947097,919752,8020475,6591041,0.57
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M,7432139,9,0,0,9528691,865949,1474220,1353497,225754,44031,8846281,3073610,38335,38298,2967164,1927613,1.45
