Summary for 1C.fullBW.cmc_pythia_sms_default
======================================================================================================================================================
Filename                                                                                   L1I_LOAD_Acc  L1I_LOAD_Miss  L1I_PF_Acc  L1I_PF_Miss  L1D_LOAD_Acc  L1D_LOAD_Miss  L1D_PF_Acc  L1D_PF_Miss  L2C_LOAD_Acc  L2C_LOAD_Miss  L2C_PF_Acc  L2C_PF_Miss  LLC_LOAD_Acc  LLC_LOAD_Miss  LLC_PF_Acc  LLC_PF_Miss  IPC
                                                                           Graph_GAP_bc-0    74456             0       0           0            50769848      18741652       0           0            17585742       9686915        25082373   14209613     9524079       5699908        31727693    19598328     0.21
                                                                          Graph_GAP_bc-12   457818             0       0           0            53442627      17916426       0           0            17226491      10082675        25852235   15739411     9847359       5905006        34253895    21646560     0.19
                                                                         Graph_GAP_bfs-10  8997705            16       0           0            41585944       7221457       0           0             5054427        669541        20670141    4146935      594898        393121         7810417     5382272     0.64
                                                                         Graph_GAP_bfs-14  9934313            16       0           0            40006800       6986499       0           0             4560046        730342        15025302    4081831      650712        363086         7536712     5154756     0.70
                                                                          Graph_GAP_cc-13  1992369             0       0           0            53352483      16668828       0           0            15266011       4676256        21042726    7105660     4637091       1889197        16771723     7041950     0.37
                                                                          Graph_GAP_cc-14  2098066             0       0           0            52015044      16306274       0           0            14881766       4579050        21179666    7077635     4545087       1845839        16822876     7037672     0.42
                                                                           Graph_GAP_cc-5  2472895             0       0           0            50906777      16161212       0           0            14628490       4470903        20999944    6944010     4437263       1808067        16355374     6858436     0.48
                                                                        Graph_GAP_sssp-10 17624226             0       0           0            49760200      11923124       0           0            10375456       3746134        19486665    7784869     3607898       1659341        16002975     7678887     0.64
                                                                        Graph_GAP_sssp-14 17570476             0       0           0            50269339      11956987       0           0            10363109       3797696        19790238    8113162     3656051       1661085        16474683     7833243     0.64
                   Graph_GMS_gms.k_clique_count_set_based.soc-pokec-relationships.slice-4 18872107           139       0           0            24107464       1114817       0           0              524663        109372         2142797     987930       34388         34330          996924      788776     2.26
      Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367 19528205             0       0           0            39215068       5062294       0           0             3872105        953528         3922608    1030997      933065        594492         2333784     1453954     1.11
       Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80 17164879             0       0           0            38023686       5473860       0           0             4074855       1196522         4418712    1349260     1164320        768157         3001085     1935161     1.05
      Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236  1634681             0       0           0            45617512       2136792       0           0             1597605        599786         1678356     712994      580328        326622         1627363      901450     1.03
      Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248  1518560             0       0           0            45689820       3152856       0           0             2291336        948463         2354366    1090847      914213        473349         2487796     1276635     0.91
               Graph_GMS_gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4 18839286           142       0           0            24207205       1233151       0           0              524664        204027         2441594    1496001       73653         55550          957314      671627     2.24
                      Graph_GMS_gms.k_clique_star_list.soc-pokec-relationships.slice-1291  4981988            18       0           0            31553036        610212       0           0              418094        145264         1270273     531311      133819        116635          969121      724890     1.40
       Graph_GMS_gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852 44338364             0       0           0            44441376       4458673       0           0             1389085         32471         7141006    1209885       18807          4242         2312225      612539     2.21
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-117    55631             0       0           0            34473711       1896355       0           0             1561095        477261         5190553    2191349      441790        404817         3618432     2717875     0.76
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-137    18436             0       0           0            38404672       3104653       0           0             2526495        962979         7506202    3664732      827498        754818         5864819     4424523     0.56
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-360    73235             7       0           0            38819605       3321797       0           0             2715863       1135465         7606011    3774365      994609        914908         6201592     4736525     0.56
              Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M  7092407             9       0           0             9337081       3667021       0           0             1527214        102563         7852172    2145046       40546         40331         2964876     1676656     1.45
              Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M 20586612             0       0           0            12243873       4214556       0           0             2760407        552473         9840591    4139558      198572         67481         3441753     1617960     2.01
        Graph_Ligra_ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M 14914655             0       0           0            15664436       6093097       0           0             2719294        210203        13877658    4144783       88097         80846         5265334     3003532     1.35
                Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M 21153805             0       0           0            18530904       8399555       0           0             3215138        351869        16533320    5754990      105694        105168         6223211     3729727     1.82
                Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M  2694993             0       0           0            31252254       7506725       0           0             2116202       1200734         5232117    2398863     1110466       1054552         3403221     2690634     1.03
Graph_Ligra_ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M 24882965             0       0           0            12261093       4227268       0           0             2759227        632368        10026644    4386942      231431         72147         3393033     1577175     2.00
Graph_Ligra_ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M  4109991             0       0           0            51965567      16261430       0           0            15050271       6370248        21192181    8124723     6349388       4027422        20618410    12209734     0.42
         Graph_Ligra_ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M  9584144           158       0           0            19105373       6032464       0           0             2790252        231069        12737216    3889103       88707         70790         4691620     2667260     1.48
                Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M 12469445           158       0           0            19101490       6029721       0           0             2789913        230750        12704261    3890565       88583         70780         4691621     2666913     1.48
                Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M 15781326             0       0           0            45587917       7754847       0           0             6076403         48158        17033273    1458034       41545         34523         2746465     1462770     1.96
           Graph_Ligra_ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M 18604966            19       0           0            40022917      17774825       0           0            17353197       2769047        20847637    3713796     2748629       1502774         9439002     4910255     1.18
      Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M 25327819             0       0           0            12300504       4280366       0           0             2783539        650319        10132292    4446923      239768         73038         3443337     1584806     1.99
      Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M 29713258            39       0           0            26918961       6496488       0           0             5677242       1086816        14038218    4242332      864065        602955         6562173     4505692     1.06
       Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M  4629706            77       0           0            32606850       4534314       0           0             1912037        753303         8620026    4336589      266013        189339         3496915     2339017     1.05
              Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M  6399680             0       0           0            45725784      13909981       0           0            11584223        706505        23126035    3405293      682528        363314         6693715     3596607     0.92
