Filename,L1I_LOAD_Acc,L1I_LOAD_Miss,L1I_PF_Acc,L1I_PF_Miss,L1D_LOAD_Acc,L1D_LOAD_Miss,L1D_PF_Acc,L1D_PF_Miss,L2C_LOAD_Acc,L2C_LOAD_Miss,L2C_PF_Acc,L2C_PF_Miss,LLC_LOAD_Acc,LLC_LOAD_Miss,LLC_PF_Acc,LLC_PF_Miss,IPC
Graph_GAP_bc-0,76250,0,0,0,51140249,19253701,0,0,17585720,9281840,0,0,9281840,5604301,0,0,0.20
Graph_GAP_bc-12,460678,0,0,0,53787307,18127053,0,0,17226510,9620241,0,0,9620240,5726176,0,0,0.19
Graph_GAP_bfs-10,9048654,16,0,0,41661408,8989914,0,0,5054328,3134124,0,0,3134123,2900250,0,0,0.26
Graph_GAP_bfs-14,9990594,16,0,0,40122728,8803191,0,0,4559956,3090163,0,0,3090163,2775278,0,0,0.28
Graph_GAP_cc-13,2215759,0,0,0,54002294,18888171,0,0,15265919,4722367,0,0,4722367,1981479,0,0,0.35
Graph_GAP_cc-14,2337847,0,0,0,53015379,19270770,0,0,14881523,4619474,0,0,4619472,1938394,0,0,0.39
Graph_GAP_cc-5,2764920,0,0,0,52075194,19608216,0,0,14628119,4512083,0,0,4512083,1901105,0,0,0.44
Graph_GAP_sssp-10,17663698,0,0,0,51185312,17851026,0,0,10375315,4260892,0,0,4260892,2171451,0,0,0.54
Graph_GAP_sssp-14,17610667,0,0,0,51425941,17948570,0,0,10363075,4272195,0,0,4272195,2166578,0,0,0.53
Graph_GMS_gms.k_clique_count_set_based.soc-pokec-relationships.slice-4,18969415,139,0,0,25197537,2256359,0,0,524663,524663,0,0,524663,524663,0,0,1.99
Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367,19543367,0,0,0,39327722,5457281,0,0,3872107,1020135,0,0,1020135,676449,0,0,1.13
Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80,17145364,0,0,0,38118718,5947510,0,0,4074938,1201950,0,0,1201950,792180,0,0,1.10
Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236,1633787,0,0,0,45737110,2495874,0,0,1597649,688233,0,0,688233,417037,0,0,1.01
Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248,1507446,0,0,0,45850911,3590908,0,0,2291364,1065236,0,0,1065236,583111,0,0,0.90
