[VMEM] WARNING: physical memory size is smaller than virtual memory size.

*** ChampSim Multicore Out-of-Order Simulator ***
Warmup Instructions: 50000000
Simulation Instructions: 200000000
Number of CPUs: 1
Page size: 4096
Core 0: /local-ssd/ben/dpc4-traces/gtraces_v2/arizona_0001.champsim.gz
 L1D Berti prefetcher
Off-chip DRAM Size: 64 GiB Channels: 1 Width: 64-bit Data Rate: 4807 MT/s
[BTB] WARNING: target of return is a lower address than the corresponding call. This is usually a problem with your trace.
[BTB] WARNING: target of return is a lower address than the corresponding call. This is usually a problem with your trace.
[BTB] WARNING: target of return is a lower address than the corresponding call. This is usually a problem with your trace.
[BTB] WARNING: target of return is a lower address than the corresponding call. This is usually a problem with your trace.
[BTB] WARNING: target of return is a lower address than the corresponding call. This is usually a problem with your trace.
Heartbeat CPU 0 instructions: 500004 cycles: 214997 heartbeat IPC: 2.326 cumulative IPC: 2.326 (Simulation time: 00 hr 00 min 03 sec)
[BTB] WARNING: target of return is a lower address than the corresponding call. This is usually a problem with your trace.
Heartbeat CPU 0 instructions: 1000007 cycles: 317442 heartbeat IPC: 4.881 cumulative IPC: 3.15 (Simulation time: 00 hr 00 min 05 sec)
[BTB] WARNING: target of return is a lower address than the corresponding call. This is usually a problem with your trace.
Heartbeat CPU 0 instructions: 1500010 cycles: 425349 heartbeat IPC: 4.634 cumulative IPC: 3.527 (Simulation time: 00 hr 00 min 06 sec)
Heartbeat CPU 0 instructions: 2000010 cycles: 525793 heartbeat IPC: 4.978 cumulative IPC: 3.804 (Simulation time: 00 hr 00 min 08 sec)
Heartbeat CPU 0 instructions: 2500014 cycles: 627425 heartbeat IPC: 4.92 cumulative IPC: 3.985 (Simulation time: 00 hr 00 min 10 sec)
Heartbeat CPU 0 instructions: 3000018 cycles: 729233 heartbeat IPC: 4.911 cumulative IPC: 4.114 (Simulation time: 00 hr 00 min 11 sec)
[BTB] WARNING: target of return is a lower address than the corresponding call. This is usually a problem with your trace.
Heartbeat CPU 0 instructions: 3500020 cycles: 837165 heartbeat IPC: 4.633 cumulative IPC: 4.181 (Simulation time: 00 hr 00 min 13 sec)
Heartbeat CPU 0 instructions: 4000027 cycles: 937474 heartbeat IPC: 4.985 cumulative IPC: 4.267 (Simulation time: 00 hr 00 min 14 sec)
Heartbeat CPU 0 instructions: 4500028 cycles: 1044201 heartbeat IPC: 4.685 cumulative IPC: 4.31 (Simulation time: 00 hr 00 min 16 sec)
Heartbeat CPU 0 instructions: 5000028 cycles: 1145562 heartbeat IPC: 4.933 cumulative IPC: 4.365 (Simulation time: 00 hr 00 min 17 sec)
[BTB] WARNING: target of return is a lower address than the corresponding call. This is usually a problem with your trace.
[BTB] WARNING: target of return is a lower address than the corresponding call. This is usually a problem with your trace.
Heartbeat CPU 0 instructions: 5500029 cycles: 1251533 heartbeat IPC: 4.718 cumulative IPC: 4.395 (Simulation time: 00 hr 00 min 19 sec)
Heartbeat CPU 0 instructions: 6000033 cycles: 1415554 heartbeat IPC: 3.048 cumulative IPC: 4.239 (Simulation time: 00 hr 00 min 21 sec)
Heartbeat CPU 0 instructions: 6500040 cycles: 1518710 heartbeat IPC: 4.847 cumulative IPC: 4.28 (Simulation time: 00 hr 00 min 23 sec)
Heartbeat CPU 0 instructions: 7000047 cycles: 1620352 heartbeat IPC: 4.919 cumulative IPC: 4.32 (Simulation time: 00 hr 00 min 25 sec)
Heartbeat CPU 0 instructions: 7500052 cycles: 1721119 heartbeat IPC: 4.962 cumulative IPC: 4.358 (Simulation time: 00 hr 00 min 26 sec)
Heartbeat CPU 0 instructions: 8000053 cycles: 1822743 heartbeat IPC: 4.92 cumulative IPC: 4.389 (Simulation time: 00 hr 00 min 28 sec)
Heartbeat CPU 0 instructions: 8500054 cycles: 1923478 heartbeat IPC: 4.964 cumulative IPC: 4.419 (Simulation time: 00 hr 00 min 29 sec)
Heartbeat CPU 0 instructions: 9000059 cycles: 2024117 heartbeat IPC: 4.968 cumulative IPC: 4.446 (Simulation time: 00 hr 00 min 31 sec)
Heartbeat CPU 0 instructions: 9500065 cycles: 2125919 heartbeat IPC: 4.912 cumulative IPC: 4.469 (Simulation time: 00 hr 00 min 32 sec)
Heartbeat CPU 0 instructions: 10000071 cycles: 2227593 heartbeat IPC: 4.918 cumulative IPC: 4.489 (Simulation time: 00 hr 00 min 34 sec)
Heartbeat CPU 0 instructions: 10500074 cycles: 2343583 heartbeat IPC: 4.311 cumulative IPC: 4.48 (Simulation time: 00 hr 00 min 36 sec)
Heartbeat CPU 0 instructions: 11000079 cycles: 2444133 heartbeat IPC: 4.973 cumulative IPC: 4.501 (Simulation time: 00 hr 00 min 37 sec)
Heartbeat CPU 0 instructions: 11500086 cycles: 2547195 heartbeat IPC: 4.852 cumulative IPC: 4.515 (Simulation time: 00 hr 00 min 39 sec)
Heartbeat CPU 0 instructions: 12000088 cycles: 2655023 heartbeat IPC: 4.637 cumulative IPC: 4.52 (Simulation time: 00 hr 00 min 40 sec)
Heartbeat CPU 0 instructions: 12500094 cycles: 2756315 heartbeat IPC: 4.936 cumulative IPC: 4.535 (Simulation time: 00 hr 00 min 42 sec)
Heartbeat CPU 0 instructions: 13000099 cycles: 2857684 heartbeat IPC: 4.933 cumulative IPC: 4.549 (Simulation time: 00 hr 00 min 43 sec)
Heartbeat CPU 0 instructions: 13500100 cycles: 3212136 heartbeat IPC: 1.411 cumulative IPC: 4.203 (Simulation time: 00 hr 00 min 48 sec)
Heartbeat CPU 0 instructions: 14000102 cycles: 3344181 heartbeat IPC: 3.787 cumulative IPC: 4.186 (Simulation time: 00 hr 00 min 51 sec)
Heartbeat CPU 0 instructions: 14500108 cycles: 3462493 heartbeat IPC: 4.226 cumulative IPC: 4.188 (Simulation time: 00 hr 00 min 52 sec)
Heartbeat CPU 0 instructions: 15000110 cycles: 3577642 heartbeat IPC: 4.342 cumulative IPC: 4.193 (Simulation time: 00 hr 00 min 54 sec)
Heartbeat CPU 0 instructions: 15500113 cycles: 3686273 heartbeat IPC: 4.603 cumulative IPC: 4.205 (Simulation time: 00 hr 00 min 56 sec)
Heartbeat CPU 0 instructions: 16000114 cycles: 3797248 heartbeat IPC: 4.506 cumulative IPC: 4.214 (Simulation time: 00 hr 00 min 58 sec)
Heartbeat CPU 0 instructions: 16500115 cycles: 3902463 heartbeat IPC: 4.752 cumulative IPC: 4.228 (Simulation time: 00 hr 00 min 59 sec)
Heartbeat CPU 0 instructions: 17000121 cycles: 4015638 heartbeat IPC: 4.418 cumulative IPC: 4.233 (Simulation time: 00 hr 01 min 01 sec)
Heartbeat CPU 0 instructions: 17500121 cycles: 4142457 heartbeat IPC: 3.943 cumulative IPC: 4.225 (Simulation time: 00 hr 01 min 03 sec)
Heartbeat CPU 0 instructions: 18000122 cycles: 4266861 heartbeat IPC: 4.019 cumulative IPC: 4.219 (Simulation time: 00 hr 01 min 05 sec)
Heartbeat CPU 0 instructions: 18500127 cycles: 4392359 heartbeat IPC: 3.984 cumulative IPC: 4.212 (Simulation time: 00 hr 01 min 07 sec)
Heartbeat CPU 0 instructions: 19000131 cycles: 4495684 heartbeat IPC: 4.839 cumulative IPC: 4.226 (Simulation time: 00 hr 01 min 08 sec)
Heartbeat CPU 0 instructions: 19500134 cycles: 4605367 heartbeat IPC: 4.559 cumulative IPC: 4.234 (Simulation time: 00 hr 01 min 10 sec)
Heartbeat CPU 0 instructions: 20000136 cycles: 4714534 heartbeat IPC: 4.58 cumulative IPC: 4.242 (Simulation time: 00 hr 01 min 12 sec)
Heartbeat CPU 0 instructions: 20500142 cycles: 4919094 heartbeat IPC: 2.444 cumulative IPC: 4.167 (Simulation time: 00 hr 01 min 15 sec)
Heartbeat CPU 0 instructions: 21000144 cycles: 5053799 heartbeat IPC: 3.712 cumulative IPC: 4.155 (Simulation time: 00 hr 01 min 17 sec)
Heartbeat CPU 0 instructions: 21500148 cycles: 5159974 heartbeat IPC: 4.709 cumulative IPC: 4.167 (Simulation time: 00 hr 01 min 19 sec)
Heartbeat CPU 0 instructions: 22000153 cycles: 5263608 heartbeat IPC: 4.825 cumulative IPC: 4.18 (Simulation time: 00 hr 01 min 20 sec)
Heartbeat CPU 0 instructions: 22500159 cycles: 5369879 heartbeat IPC: 4.705 cumulative IPC: 4.19 (Simulation time: 00 hr 01 min 22 sec)
Heartbeat CPU 0 instructions: 23000161 cycles: 5478019 heartbeat IPC: 4.624 cumulative IPC: 4.199 (Simulation time: 00 hr 01 min 24 sec)
Heartbeat CPU 0 instructions: 23500165 cycles: 5601214 heartbeat IPC: 4.059 cumulative IPC: 4.196 (Simulation time: 00 hr 01 min 26 sec)
Heartbeat CPU 0 instructions: 24000168 cycles: 5705900 heartbeat IPC: 4.776 cumulative IPC: 4.206 (Simulation time: 00 hr 01 min 27 sec)
Heartbeat CPU 0 instructions: 24500175 cycles: 5812385 heartbeat IPC: 4.696 cumulative IPC: 4.215 (Simulation time: 00 hr 01 min 29 sec)
Heartbeat CPU 0 instructions: 25000180 cycles: 5915665 heartbeat IPC: 4.841 cumulative IPC: 4.226 (Simulation time: 00 hr 01 min 31 sec)
Heartbeat CPU 0 instructions: 25500184 cycles: 6018557 heartbeat IPC: 4.86 cumulative IPC: 4.237 (Simulation time: 00 hr 01 min 33 sec)
Heartbeat CPU 0 instructions: 26000184 cycles: 6123015 heartbeat IPC: 4.787 cumulative IPC: 4.246 (Simulation time: 00 hr 01 min 34 sec)
Heartbeat CPU 0 instructions: 26500186 cycles: 6227557 heartbeat IPC: 4.783 cumulative IPC: 4.255 (Simulation time: 00 hr 01 min 36 sec)
Heartbeat CPU 0 instructions: 27000193 cycles: 6333373 heartbeat IPC: 4.725 cumulative IPC: 4.263 (Simulation time: 00 hr 01 min 38 sec)
Heartbeat CPU 0 instructions: 27500197 cycles: 6437197 heartbeat IPC: 4.816 cumulative IPC: 4.272 (Simulation time: 00 hr 01 min 40 sec)
Heartbeat CPU 0 instructions: 28000203 cycles: 6541873 heartbeat IPC: 4.777 cumulative IPC: 4.28 (Simulation time: 00 hr 01 min 41 sec)
Heartbeat CPU 0 instructions: 28500209 cycles: 6645718 heartbeat IPC: 4.815 cumulative IPC: 4.289 (Simulation time: 00 hr 01 min 43 sec)
Heartbeat CPU 0 instructions: 29000212 cycles: 6750898 heartbeat IPC: 4.754 cumulative IPC: 4.296 (Simulation time: 00 hr 01 min 45 sec)
Heartbeat CPU 0 instructions: 29500214 cycles: 6855679 heartbeat IPC: 4.772 cumulative IPC: 4.303 (Simulation time: 00 hr 01 min 47 sec)
Heartbeat CPU 0 instructions: 30000216 cycles: 6957855 heartbeat IPC: 4.894 cumulative IPC: 4.312 (Simulation time: 00 hr 01 min 48 sec)
Heartbeat CPU 0 instructions: 30500223 cycles: 7061573 heartbeat IPC: 4.821 cumulative IPC: 4.319 (Simulation time: 00 hr 01 min 50 sec)
Heartbeat CPU 0 instructions: 31000225 cycles: 7209034 heartbeat IPC: 3.391 cumulative IPC: 4.3 (Simulation time: 00 hr 01 min 53 sec)
Heartbeat CPU 0 instructions: 31500228 cycles: 7317111 heartbeat IPC: 4.626 cumulative IPC: 4.305 (Simulation time: 00 hr 01 min 55 sec)
Heartbeat CPU 0 instructions: 32000229 cycles: 7424113 heartbeat IPC: 4.673 cumulative IPC: 4.31 (Simulation time: 00 hr 01 min 56 sec)
Heartbeat CPU 0 instructions: 32500236 cycles: 7527175 heartbeat IPC: 4.852 cumulative IPC: 4.318 (Simulation time: 00 hr 01 min 58 sec)
Heartbeat CPU 0 instructions: 33000237 cycles: 7631041 heartbeat IPC: 4.814 cumulative IPC: 4.324 (Simulation time: 00 hr 02 min 00 sec)
Heartbeat CPU 0 instructions: 33500240 cycles: 7740063 heartbeat IPC: 4.586 cumulative IPC: 4.328 (Simulation time: 00 hr 02 min 02 sec)
Heartbeat CPU 0 instructions: 34000243 cycles: 7841373 heartbeat IPC: 4.935 cumulative IPC: 4.336 (Simulation time: 00 hr 02 min 03 sec)
Heartbeat CPU 0 instructions: 34500245 cycles: 7942976 heartbeat IPC: 4.921 cumulative IPC: 4.343 (Simulation time: 00 hr 02 min 05 sec)
Heartbeat CPU 0 instructions: 35000249 cycles: 8043452 heartbeat IPC: 4.976 cumulative IPC: 4.351 (Simulation time: 00 hr 02 min 07 sec)
Heartbeat CPU 0 instructions: 35500253 cycles: 8144810 heartbeat IPC: 4.933 cumulative IPC: 4.359 (Simulation time: 00 hr 02 min 08 sec)
Heartbeat CPU 0 instructions: 36000254 cycles: 8246361 heartbeat IPC: 4.924 cumulative IPC: 4.366 (Simulation time: 00 hr 02 min 10 sec)
Heartbeat CPU 0 instructions: 36500258 cycles: 8347055 heartbeat IPC: 4.966 cumulative IPC: 4.373 (Simulation time: 00 hr 02 min 11 sec)
Heartbeat CPU 0 instructions: 37000261 cycles: 8448471 heartbeat IPC: 4.93 cumulative IPC: 4.38 (Simulation time: 00 hr 02 min 13 sec)
Heartbeat CPU 0 instructions: 37500266 cycles: 8550264 heartbeat IPC: 4.912 cumulative IPC: 4.386 (Simulation time: 00 hr 02 min 14 sec)
Heartbeat CPU 0 instructions: 38000268 cycles: 8651063 heartbeat IPC: 4.96 cumulative IPC: 4.393 (Simulation time: 00 hr 02 min 16 sec)
Heartbeat CPU 0 instructions: 38500268 cycles: 8752624 heartbeat IPC: 4.923 cumulative IPC: 4.399 (Simulation time: 00 hr 02 min 18 sec)
Heartbeat CPU 0 instructions: 39000272 cycles: 8853245 heartbeat IPC: 4.969 cumulative IPC: 4.405 (Simulation time: 00 hr 02 min 19 sec)
Heartbeat CPU 0 instructions: 39500273 cycles: 8953955 heartbeat IPC: 4.965 cumulative IPC: 4.411 (Simulation time: 00 hr 02 min 21 sec)
Heartbeat CPU 0 instructions: 40000278 cycles: 9055381 heartbeat IPC: 4.93 cumulative IPC: 4.417 (Simulation time: 00 hr 02 min 22 sec)
Heartbeat CPU 0 instructions: 40500279 cycles: 9156883 heartbeat IPC: 4.926 cumulative IPC: 4.423 (Simulation time: 00 hr 02 min 24 sec)
Heartbeat CPU 0 instructions: 41000285 cycles: 9279258 heartbeat IPC: 4.086 cumulative IPC: 4.418 (Simulation time: 00 hr 02 min 26 sec)
Heartbeat CPU 0 instructions: 41500288 cycles: 9386012 heartbeat IPC: 4.684 cumulative IPC: 4.422 (Simulation time: 00 hr 02 min 28 sec)
Heartbeat CPU 0 instructions: 42000295 cycles: 9487761 heartbeat IPC: 4.914 cumulative IPC: 4.427 (Simulation time: 00 hr 02 min 29 sec)
Heartbeat CPU 0 instructions: 42500301 cycles: 9588698 heartbeat IPC: 4.954 cumulative IPC: 4.432 (Simulation time: 00 hr 02 min 31 sec)
Heartbeat CPU 0 instructions: 43000307 cycles: 9689070 heartbeat IPC: 4.982 cumulative IPC: 4.438 (Simulation time: 00 hr 02 min 32 sec)
Heartbeat CPU 0 instructions: 43500307 cycles: 9789093 heartbeat IPC: 4.999 cumulative IPC: 4.444 (Simulation time: 00 hr 02 min 34 sec)
Heartbeat CPU 0 instructions: 44000310 cycles: 9889089 heartbeat IPC: 5 cumulative IPC: 4.449 (Simulation time: 00 hr 02 min 35 sec)
Heartbeat CPU 0 instructions: 44500312 cycles: 9989471 heartbeat IPC: 4.981 cumulative IPC: 4.455 (Simulation time: 00 hr 02 min 37 sec)
Heartbeat CPU 0 instructions: 45000317 cycles: 10090391 heartbeat IPC: 4.954 cumulative IPC: 4.46 (Simulation time: 00 hr 02 min 38 sec)
Heartbeat CPU 0 instructions: 45500317 cycles: 10191976 heartbeat IPC: 4.922 cumulative IPC: 4.464 (Simulation time: 00 hr 02 min 40 sec)
Heartbeat CPU 0 instructions: 46000322 cycles: 10293658 heartbeat IPC: 4.917 cumulative IPC: 4.469 (Simulation time: 00 hr 02 min 42 sec)
Heartbeat CPU 0 instructions: 46500323 cycles: 10394631 heartbeat IPC: 4.952 cumulative IPC: 4.473 (Simulation time: 00 hr 02 min 43 sec)
Heartbeat CPU 0 instructions: 47000327 cycles: 10496426 heartbeat IPC: 4.912 cumulative IPC: 4.478 (Simulation time: 00 hr 02 min 45 sec)
Heartbeat CPU 0 instructions: 47500332 cycles: 10597767 heartbeat IPC: 4.934 cumulative IPC: 4.482 (Simulation time: 00 hr 02 min 46 sec)
Heartbeat CPU 0 instructions: 48000334 cycles: 10698351 heartbeat IPC: 4.971 cumulative IPC: 4.487 (Simulation time: 00 hr 02 min 48 sec)
Heartbeat CPU 0 instructions: 48500340 cycles: 10800738 heartbeat IPC: 4.883 cumulative IPC: 4.49 (Simulation time: 00 hr 02 min 50 sec)
Heartbeat CPU 0 instructions: 49000343 cycles: 10901861 heartbeat IPC: 4.945 cumulative IPC: 4.495 (Simulation time: 00 hr 02 min 51 sec)
Heartbeat CPU 0 instructions: 49500343 cycles: 11002995 heartbeat IPC: 4.944 cumulative IPC: 4.499 (Simulation time: 00 hr 02 min 53 sec)
Warmup finished CPU 0 instructions: 50000001 cycles: 11103488 cumulative IPC: 4.503 (Simulation time: 00 hr 02 min 54 sec)
Warmup complete CPU 0 instructions: 50000001 cycles: 11103488 cumulative IPC: 4.503 (Simulation time: 00 hr 02 min 54 sec)
Heartbeat CPU 0 instructions: 50000346 cycles: 11103715 heartbeat IPC: 4.964 cumulative IPC: 1.52 (Simulation time: 00 hr 02 min 54 sec)
Heartbeat CPU 0 instructions: 50500346 cycles: 11393941 heartbeat IPC: 1.723 cumulative IPC: 1.723 (Simulation time: 00 hr 02 min 57 sec)
Heartbeat CPU 0 instructions: 51000349 cycles: 11667503 heartbeat IPC: 1.828 cumulative IPC: 1.774 (Simulation time: 00 hr 03 min 00 sec)
Heartbeat CPU 0 instructions: 51500351 cycles: 12129031 heartbeat IPC: 1.083 cumulative IPC: 1.463 (Simulation time: 00 hr 03 min 04 sec)
Heartbeat CPU 0 instructions: 52000351 cycles: 12412838 heartbeat IPC: 1.762 cumulative IPC: 1.528 (Simulation time: 00 hr 03 min 07 sec)
